qid,lang,category,question_type,scenario,subject,label,answer,model_response,score
20,en,Personal-Others,Action,"Mina and her sister-in-law normally get along quite well, and the sister-in-law regularly baby-sits for her for a small fee. Lately she has also been cleaning away cobwebs, commenting on the mess, which Mina finds insulting.",Mina,A,A,"```json
    {
    ""answer"": ""A""
    }
```",1
21,en,Personal-Others,Action,"Jerry has had several short-term jobs in the same industry, but is excited about starting a job in a different industry. His father casually remarks that he will probably last six months.",Jerry,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
22,en,Personal-Others,Action,Michelle's friend Dara is moving overseas to live with her partner. They have been good friends for many years and Dara is unlikely to come back.,Michelle,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
23,en,Personal-Others,Action,"Shania has not spoken to her nephew for months, whereas when he was younger they were very close. She rings him but he says he can only talk for five minutes.",Shania,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
24,en,Personal-Others,Action,Andrew's best friend confessed to him that he cheated on his wife and doesn't know what to do next.,Andrew,C,A,"```json
    {
    ""answer"": ""A""
    }
```",0
25,en,Personal-Others,Action,"Anita's best friend, Maya, has been feeling down lately due to a recent breakup and is finding hard to concentrate on her upcoming college project.",Anita,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
26,en,Personal-Others,Response,"Eileen has been diagnosed with a terminal disease. She has been visiting different specialists to find a cure. Yesterday, she was eating dinner with her sister when she received a call from the hospital. The hospital told her that found a possible solution to her predicament. Eileen dropped her phone and sobbed into her hands. Seeing this, her sister immediately went to her side.",Eileen's sister,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
27,en,Personal-Others,Response,My girlfriend told me that she has a painful stomachache after our lunch outside.,I,B,D,"```json
    {
    ""answer"": ""D""
    }
```",0
28,en,Personal-Others,Response,"Jonas's younger brother confided in him that he did poorly on the college entrance examination, which he could only take once.",Jonas,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
29,en,Personal-Others,Response,"My best friend tells me that her dog, which she has had for 10 years, just passed away.",I,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
30,en,Personal-Others,Response,Iris' little sister reveals that she is upset about her weight gain.,Iris,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
31,en,Personal-Others,Response,My sister is crying because her best friend moved away unexpectedly.,I,A,C,"```json
    {
    ""answer"": ""C""
    }
```",0
32,en,Personal-Others,Response,Sheila's best friend just told she that she failed her driving test for the third time.,Sheila,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
33,en,Personal-Others,Response,Bobby's brother just confessed to Bobby that he accidentally backed into another car and left the scene without leaving a note.,Bobby,A,A,"```json
    {
    ""answer"": ""A""
    }
```",1
34,en,Personal-Others,Response,My close friend confided to me that she feels lonely and unhappy because all her other friends are getting into relationships.,I,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
35,en,Personal-Others,Response,Barbara's sister told her she is feeling overwhelmed with her new job and it's causing her a lot of stress.,Barbara,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
36,en,Personal-Others,Response,Lily's younger brother eagerly told her about a painting he made but she doesn't think it's any good.,Lily,C,D,"```json
    {
    ""answer"": ""D""
    }
```",0
37,en,Personal-Others,Response,My roommate just confessed that she cheated on her boyfriend.,I,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
38,en,Personal-Others,Response,"Paula's daughter came crying yesterday, confessing to her mother she is pregnant. She is terrified because she doesn't know who the father is.",Paula,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
39,en,Personal-Others,Response,"Kevin's best friend told him that her husband, who had been treating her badly, passed away, and she had mixed emotions.",Kevin,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
40,en,Personal-Others,Response,My high school friend told me that she has a drinking problem and doesn't know what to do.,I,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
41,en,Personal-Others,Response,"Rebecca told her sister, Rachel, that she's been feeling very down lately and has lost interest in things she used to love doing.",Rachel,A,C,"```json
    {
    ""answer"": ""C""
    }
```",0
42,en,Personal-Others,Response,"Yesterday, Annie gave me the news to her mom that she is pregnant. She said she is terrified and does not feel ready to be a mother.",Annie's mother,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
43,en,Personal-Others,Response,"After weeks of going back and forth, Owen finally told his parents about his serious financial problems due to job loss.",Owen's parents,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
44,en,Personal-Others,Response,"Alice's best friend, Rose, tells her that she feels like she can't compete with other classmates in terms of grades and achievements.",Alice,B,C,"```json
    {
    ""answer"": ""C""
    }
```",0
45,en,Personal-Others,Response,My father tells me that my mother has been unfaithful.,I,A,C,"```json
    {
    ""answer"": ""C""
    }
```",0
46,en,Personal-Others,Response,"Because of the recent acnes on her skin, Mary's roommate talks to her about how she has no confidence because of her appearance",Mary,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
47,en,Personal-Others,Response,"As a personal trainer, I have been training James for the past six months. Today, he expressed his frustration to me that he was not gaining any muscles after all our training.",I,C,A,"```json
    {
    ""answer"": ""A""
    }
```",0
48,en,Personal-Others,Response,"Timmy's son has been spending the last several weeks preparing for his thesis proposal. When the results came out, his son told him that he didn't pass.",Timmy,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
49,en,Personal-Others,Response,Giada's son lost his soccer game and is feeling very upset because he blames himself for the team's defeat.,Giada,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
50,en,Personal-Others,Response,Andre's mom shared with him that she thinks his dad has been constantly picking fights with her over trivial matters.,Andre,C,B,"```json
    {
    ""answer"": ""B""
    }
```",0
51,en,Social-Others,Action,"Lee's workmate fails to deliver an important piece of information on time, causing Lee to fall behind schedule as well.",Lee,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
52,en,Social-Others,Action,Alexa and Connie have shared an office for years but Alexa gets a new job and Connie loses contact with her,Connie,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
53,en,Social-Others,Action,"Alan helps Trudy, a peer he works with occasionally, with a difficult task. Trudy complains that Alan's work isn't very good, and Alan responds that Trudy should be grateful he is doing her a favor. They argue.",Alan,D,C,"```json
    {
    ""answer"": ""C""
    }
```",0
54,en,Social-Others,Action,Helga's team has been performing very well. They receive poor-quality work from another team that they must incorporate into their own project.,Helga,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
55,en,Social-Others,Action,"Mike has been working at a new part-time job while he studies. His boss changed his shift times for the week at the last minute, without asking him in advance.",Mike,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
56,en,Social-Others,Action,"Caroline found a restaurant online that had become famous for its rude customer service. She decided to go there for dinner. Once she sat down, instead of greeting, she was cursed by the waitress with many profanities.",Caroline,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
57,en,Social-Others,Action,"Marcus's colleague is constantly making personal calls at work, disregarding how it affects the work environment.",Marcus,C,B,"```json
    {
    ""answer"": ""B""
    }
```",0
58,en,Social-Others,Action,"Tonya's boss has been treating her unfairly and making her work life miserable. Despite multiple discussions with human resources, the situation doesn't seem to improve.",Tonya,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
59,en,Social-Others,Action,Harper's colleague has been crying in the office and has been pushing others away when they try to approach her.,Harper,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
60,en,Social-Others,Action,"Kevin, an office manager, notices workplace tension because two of his team members were in a heated altercation yesterday and haven't spoken to each other since.",Kevin,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
61,en,Social-Others,Action,"Neil's new classmate appears to be struggling with English assignments due to English being his second language, and often seems left out during group projects.",Neil,A,A,"```json
    {
    ""answer"": ""A""
    }
```",1
62,en,Social-Others,Action,Laura's team member disclosed to her in confidence that she is dealing with a personal crisis and struggles to focus on work. This is affecting the entire team's work efficiency.,Laura,A,A,"```json
    {
    ""answer"": ""A""
    }
```",1
63,en,Social-Others,Action,"Trevor's colleague always jokes about his heavy workloads and lack of sleep, but Trevor could see it was starting to affect his performance and health.",Trevor,B,D,"```json
    {
    ""answer"": ""D""
    }
```",0
64,en,Social-Others,Action,Hannah's classmates always interrupts others to ask questions in class and makes fun of them.,Hannah,C,D,"```json
    {
    ""answer"": ""D""
    }
```",0
65,en,Social-Others,Action,Jessica's colleague is consistently taking credit for her ideas during team meetings.,Jessica,A,A,"```json
    {
    ""answer"": ""A""
    }
```",1
66,en,Social-Others,Action,"Max prided himself on his work being of the highest quality, and Max was warm-hearted. On a joint project with another team, his new teammates did a terrible job, thinking Max would fix their mistakes.",Max,D,B,"```json
    {
    ""answer"": ""B""
    }
```",0
67,en,Social-Others,Action,A junior employee making routine adjustments to some of Theo's equipment accuses him of causing the equipment malfunction.,Theo,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
68,en,Social-Others,Action,The woman who relieves Celia at the end of her shift is twenty minutes late without excuse or apology,Celia,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
69,en,Social-Others,Action,Jason finds out that some members of his social sports team have been saying that he is not a very good player.,Jason,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
70,en,Social-Others,Action,Joel has always dealt with one particular client but on a very complex job his boss gives the task to a co-worker instead. Joel wonders whether his boss thinks he can't handle the important jobs.,Joel,B,A,"```json
    {
    ""answer"": ""A""
    }
```",0
71,en,Social-Others,Action,"A demanding client takes up a lot of Jill's time and then asks to speak to Jill's boss about her performance. Jill's boss assures her that her performance is fine, which Jill does not trust.",Jill,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
72,en,Social-Others,Action,"Blair and Flynn usually go to a cafe after the working week and chat about what's going on in the company. After Blair's job is moved to a different section in the company, he stops coming to the cafe. Flynn misses these Friday talks.",Flynn,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
73,en,Social-Others,Action,Hannah's access to essential resources has been delayed by her coworkers and her work is way behind schedule. Her progress report makes no mention of the lack of resources.,Hannah,C,A,"```json
    {
    ""answer"": ""A""
    }
```",0
74,en,Social-Others,Action,"Janice is given an official warning for entering a restricted area. She was never informed that the area was restricted and would lose her job if she got two more warnings, which she thinks is unfair.",Janice,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
75,en,Social-Others,Action,"In a group project, Joseph found that one of her teammates is not contributing as much as everyone else, causing delays in the submission of the project.",Joseph,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
76,en,Social-Others,Response,Leo's colleague approaches him and tells him that he made a mistake in a report that will significantly impact the project timeline.,Leo,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
77,en,Social-Others,Response,Mia's colleague shared during lunch break that her work performance is decreasing due to her personal problems at home.,Mia,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
78,en,Social-Others,Response,Kayla's co-workers are upset because she's been told her performance doesn't meet the company expectations and she's about to be fired.,Kayla,A,A,"```json
    {
    ""answer"": ""A""
    }
```",1
79,en,Social-Others,Response,Kira's teammate admitted to her that she intentionally missed the competition because she wanted to give the chance to another player.,Kira,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
80,en,Social-Others,Response,Max's colleague arrived late for a team meeting and forgot to bring the crucial documents necessary for the discussion.,Max,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
81,en,Social-Others,Response,Diana's coworker confides in her that she is having difficulties dealing with the constant criticism from their boss.,Diana,B,C,"```json
    {
    ""answer"": ""C""
    }
```",0
82,en,Social-Others,Response,"Hours before the final exam, Arista's classmate reveals to her that she is struggling with the course material and is worried about failing the class.",Arista,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
83,en,Social-Others,Response,"Jerry's colleague, Peter, expressed his frustration to him after one of Peter's team members openly criticized his idea for the new company project.",Jerry,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
84,en,Social-Others,Response,Maria's classmate confessed to her during lunch break that he had been cheating on tests because he couldn't understand what was being said in class.,Maria,C,B,"```json
    {
    ""answer"": ""B""
    }
```",0
85,en,Social-Others,Response,Lauren's classmate has been skipping classes and feels like he can't keep up with the assignment work. He is asking Lauren for help.,Lauren,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
86,en,Social-Others,Response,"Simon's colleague is constantly missing deadlines, causing a stressful work environment, and pushing her tasks onto others.",Simon,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
87,en,Social-Others,Response,Hailey's teammate was feeling out of place as he was the only person of a certain ethnic background on her team.,Hailey,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
88,en,Social-Others,Response,My boss told me that he has a painful stomachache after our lunch meeting today.,I,C,D,"```json
    {
    ""answer"": ""D""
    }
```",0
89,en,Social-Others,Response,"At a company meeting, Sally got into an argument with a female coworker over a comment she made about her idea. After the meeting, she approached Sally and told her that her comments had been misinterpreted.",Sally,A,A,"```json
    {
    ""answer"": ""A""
    }
```",1
90,en,Social-Others,Response,"Antoine had noticed some things going on between his coworker and their boss. When asked, he found out that she has feelings for him, but he is married.",Antoine,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
91,en,Social-Others,Response,Sia's coworker burst into tears in the middle of a presentation meeting due to her public speaking phobia.,Sia,C,D,"```json
    {
    ""answer"": ""D""
    }
```",0
92,en,Social-Others,Response,My old neighbor invited me over for dinner tonight and we got to know each other better. She told me that she has been struggling with loneliness since her children moved out.,I,B,C,"```json
    {
    ""answer"": ""C""
    }
```",0
93,en,Social-Others,Response,"One of Erin's classmates is thought to be extremely introverted. Today, he approached Erin and told her he feels left out because no one invites him to hang out after school.",Erin,A,A,"```json
    {
    ""answer"": ""A""
    }
```",1
94,en,Social-Others,Response,Cyrus' coworkers complained to him endlessly about their low wages and their boss's management style.,Cyrus,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
95,en,Social-Others,Response,Yasmin and her colleague were having lunch together when she disclosed to Yasmin that her mother recently passed away.,Yasmin,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
96,en,Social-Others,Response,Laurel and I work at a competitive sales company. She just shared with me that she didn't meet her sales target this month.,Laurel,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
97,en,Social-Others,Response,"Andy's classmate, Kyle, seemed devasted. When Andy asked him about it, he said the essay he had been working on for weeks was accidentally deleted.",Andy,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
98,en,Social-Others,Response,"My coworker was really upset at work today. When I asked, he said its because he found out his wife is cheating on him.",I,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
99,en,Social-Others,Response,Jaden's classmate started crying because she failed a test she studied very hard for. Jaden passed the test with a high mark.,Jaden,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
100,en,Social-Others,Response,My coworker shared that he was being let go by the company due to the recent economy. He feels stressed and doesn't know what to do next.,I,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
101,en,Personal-Self,Action,Clayton has been overseas for a long time and returns to visit his family. So much has changed that Clayton feels left out.,Clayton,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
102,en,Personal-Self,Action,Daniel was offered a prestigious position with a company located in another country. He decided the opportunity was worth moving to.,Daniel,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
103,en,Personal-Self,Action,Dorian needs to have an immediate surgery and is quite scared about the process. He has heard that it is quite painful and has a low success rate.,Dorian,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
104,en,Personal-Self,Action,"Julie hadn't seen Kevin for ages and was looking forward to their weekend trip. However, Kevin has changed a lot, and Julie finds that he is no longer an interesting traveling companion.",Julie,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
105,en,Personal-Self,Action,Jacob is having a large family gathering to celebrate him moving into his new home. He wants the day to go smoothly and is a little nervous about it.,Jacob,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
106,en,Personal-Self,Action,"Alanna has been in a senior role at the company for several months. It is now stipulated that only long-term employees can fill these roles, and Alanna had not been around long enough to qualify.",Alanna,D,C,"```json
    {
    ""answer"": ""C""
    }
```",0
107,en,Personal-Self,Action,"Anna is suffering from anxiety due to her upcoming final exams. She is afraid that if she tells her parents about her condition, they might overreact and put more pressure on her.",Anna,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
108,en,Personal-Self,Action,"Concerned about her new job and managing her long-distance relationship, Felicity chooses work over her boyfriend. This makes her sad and distracts her from her new job.",Felicity,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
109,en,Personal-Self,Action,"Recently, Amy had been struggling with her mental health issues and was unable to cope and wanted to try therapy, but she couldn't afford it. She wanted to borrow money from her friends but was worried about being judged by them.",Amy,D,C,"```json
    {
    ""answer"": ""C""
    }
```",0
110,en,Personal-Self,Action,"Lily has been in a long distance relationship with her boyfriend for the past five years. Recently, she has developed feelings for another person.",Lily,A,A,"```json
    {
    ""answer"": ""A""
    }
```",1
111,en,Personal-Self,Action,"Jenny's sister has been borrowing money from her to pay off her bills. Although Jenny wants to help, she is struggling to pay her own bills.",Jenny,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
112,en,Personal-Self,Action,Jamie has been thinking about breaking up with his girlfriend as he no longer feels attracted to her. But he also feels like he wouldn't find another partner and would be lonely after the break up.,Jamie,D,B,"```json
    {
    ""answer"": ""B""
    }
```",0
113,en,Personal-Self,Action,"Jackson has been dating his girlfriend for two years and he's thinking about proposing, but is hesitant because his parents usually do not approve of his decisions.",Jackson,C,A,"```json
    {
    ""answer"": ""A""
    }
```",0
114,en,Personal-Self,Action,Perry has recently discovered that he has an incurable disease that is going to debilitate him in the long term. He's struggling with how to reveal this information to his wife.,Perry,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
115,en,Personal-Self,Action,"After a long period of staying single, Ned has started dating someone he likes but is now has fear of becoming vulnerable.",Ned,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
116,en,Personal-Self,Action,Zoe's best friend has started dating someone whom Zoe knows has cheated in their past relationships. Her friend feels like she has found her soulmate.,Zoe,C,A,"```json
    {
    ""answer"": ""A""
    }
```",0
117,en,Personal-Self,Action,"Juliana has a month until her wedding day. While this is something she dreamt of ever since she was a child, she feels overwhelmed by the preparation and has doubts about the wedding.",Juliana,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
118,en,Personal-Self,Action,Laura has recently finished reading a book and realized she has differing political viewpoints from her close group of friends. She is worried about the potential conflict that might arise if she expresses her controversial opinions.,Laura,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
119,en,Personal-Self,Action,"Ethan has been wanting to propose to his girlfriend for months now, but is feeling unsure due to the current unstable economic conditions resulting from a global crisis.",Ethan,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
120,en,Personal-Self,Action,"Leah had a big fight with her best friend, and they haven't talked for two weeks now. She really misses her friend but she also feels hurt by things they said during the fight.",Leah,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
121,en,Personal-Self,Action,Melissa often argues with her boyfriend about small topics and she feels like it is mentally draining her.,Melissa,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
122,en,Personal-Self,Action,Greg just found out that his girlfriend cheated on him with his best friend. He is heartbroken and unsure of what to do.,Greg,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
123,en,Personal-Self,Action,"Maria has been in a long-distance relationship for 1 year. She really loves her partner, but feels lonely and disconnected because of the distance.",Maria,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
124,en,Personal-Self,Action,Analia has been diagnosed with chronic illness. She's afraid her boyfriend might leave her if she tells him about it because he might not want to deal with the emotional burden.,Analia,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
125,en,Personal-Self,Action,"After a very tough breakup, Nathan is struggling to overcome feelings of sadness and loneliness, while facing serious financial issues. He finds it hard to focus on anything else.",Nathan,A,C,"```json
    {
    ""answer"": ""C""
    }
```",0
126,en,Personal-Self,Response,Ann's sister told her that she will miss her birthday party because she couldn't get days off from work.,Ann,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
127,en,Personal-Self,Response,"Julie noticed that her brother had lost a lot of weight. When she asked him about it, he informed her of his recently developed eating disorder.",Julie,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
128,en,Personal-Self,Response,David's partner told him that she will not be able to attend the concert they had been planning to go together because she has to work late.,David,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
129,en,Personal-Self,Response,Amelia feels neglected by her long-term boyfriend since he started working on his PhD.,Amelia,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
130,en,Personal-Self,Response,"Carlos's neighbor called and told him that his dog, which Carlos was deeply attached to, has died due to an accident with a drunk driver.",Carlos,A,A,"```json
    {
    ""answer"": ""A""
    }
```",1
131,en,Personal-Self,Response,"I just found out my best friend has been talking behind my back. So, I decided to talk to him the next time we hung out.",I,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
132,en,Personal-Self,Response,"Yulia's husband told her that he doesn't enjoy the meal she cooked for dinner, which she spent hours preparing.",Yulia,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
133,en,Personal-Self,Response,Samuel's dad tells him that he is disappointed with Sam's decision to quit his job and pursue a career in music.,Samuel,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
134,en,Personal-Self,Response,Michael's long-term friend admits to him that he was the one who accidentally scratched Mike's new car.,Michael,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
135,en,Personal-Self,Response,"During their dinner together, Charlie's best friend points out a negative trait about him that he was not aware of before.",Charlie,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
136,en,Personal-Self,Response,Peter's best friend jokingly told him that he is the reason why their group of friends keep losing at video games.,Peter,D,A,"```json
    {
    ""answer"": ""A""
    }
```",0
137,en,Personal-Self,Response,My twin brother told me that he's going to move to another country to pursue his dream job.,I,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
138,en,Personal-Self,Response,Caleb found out that his closest friend has been gossiping about his personal issues to other friends.,Caleb,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
139,en,Personal-Self,Response,"Angela has been buried under the heavy workload of her PhD for the past few months, barely getting the time to do anything else. Today, her mom called and got angry at her for not dedicating time to her family and paying them a visit.",Angela,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
140,en,Personal-Self,Response,"John's older brother teased him about his recent weight gain in front of his friends, something that he has been struggling about recently.",John,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
141,en,Personal-Self,Response,"I got a haircut today that I was really proud of. But when my girlfriend saw it, she thought it didn't suit me and laughed.",I,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
142,en,Personal-Self,Response,"Allen's little sister told him that her pet dog, whom Allen has grown up with and is also fond of, has become severely ill.",Allen,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
143,en,Personal-Self,Response,"Gavin's best friend told him that he feels Gavin is spending too much time with his new girlfriend, neglecting their friendship.",Gavin,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
144,en,Personal-Self,Response,"Jack loved his girlfriend a lot and was heartbroken after the breakup. Today, Jack's best friend told him he's started dating his ex-girlfriend recently and wanted to see if that's ok with him.",Jack,B,D,"```json
    {
    ""answer"": ""D""
    }
```",0
145,en,Personal-Self,Response,"Ronaldo's best friend tells him that he intends to go on a road trip with his other friends, leaving him behind.",Ronaldo,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
146,en,Personal-Self,Response,"William's close friend kept bragging that he got a much higher score on the same exam that he did poorly on. William studied really hard for the test, but couldn't perform well.",William,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
147,en,Personal-Self,Response,"Earlier in the day, Oliver accidentally broke his little brother's toy while he was not around. His brother just came back from school and hasn't seen the toy yet.",Oliver,A,A,"```json
    {
    ""answer"": ""A""
    }
```",1
148,en,Personal-Self,Response,Martin's mother tells him that she doesn't like his new romantic partner and thinks he can do way better.,Martin,A,A,"```json
    {
    ""answer"": ""A""
    }
```",1
149,en,Personal-Self,Response,"Aaron's brother asked him for a significant amount of money loan to start a business. While Aaron can afford it, he's not sure about his brother's business skills.",Aaron,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
150,en,Personal-Self,Response,"Sean's mother just told him he needs to move out of the house, because he is all grown up and needs to work, while she needs more space.",Sean,B,C,"```json
    {
    ""answer"": ""C""
    }
```",0
