qid,lang,category,question_type,scenario,subject,label,answer,model_response,score
15,en,Personal-Others,Action,Benjiro's parents are in their late 80s and living interstate in a house by themselves. He is worried that they need some help but they angrily deny it any time he brings up the subject.,Benjiro,A,,,0
16,en,Personal-Others,Action,Andie answers the phone and hears that her close relatives are in hospital critically ill.,Andie,B,B,"{
    ""answer"": ""B""
}",1
17,en,Personal-Others,Action,Evan's sister cooked food late at night when she was staying over at his place and she left a huge mess in the kitchen that Evan discovered at breakfast,Evan,B,B,"{
    ""answer"": ""B""
}",1
18,en,Personal-Others,Action,"Gloria's housemates never buy essential non-food items when they are running low, relying on Gloria to buy them, which she resents. They know each other reasonably well, but have not yet discussed financial issues.",Gloria,B,C,"{
    ""answer"": ""C""
}",0
19,en,Personal-Others,Action,Bella is overseas when she finds out that her father has passed away from an illness he has had in recent years.,Bella,A,A,"{
    ""answer"": ""A""
}",1
20,en,Personal-Others,Action,"Mina and her sister-in-law normally get along quite well, and the sister-in-law regularly baby-sits for her for a small fee. Lately she has also been cleaning away cobwebs, commenting on the mess, which Mina finds insulting.",Mina,A,A,"```json
{
    ""answer"": ""A""
}
```",1
21,en,Personal-Others,Action,"Jerry has had several short-term jobs in the same industry, but is excited about starting a job in a different industry. His father casually remarks that he will probably last six months.",Jerry,B,B,"{
    ""answer"": ""B""
}",1
22,en,Personal-Others,Action,Michelle's friend Dara is moving overseas to live with her partner. They have been good friends for many years and Dara is unlikely to come back.,Michelle,D,D,"{
    ""answer"": ""D""
}",1
23,en,Personal-Others,Action,"Shania has not spoken to her nephew for months, whereas when he was younger they were very close. She rings him but he says he can only talk for five minutes.",Shania,C,C,"```json
{
    ""answer"": ""C""
}
```",1
24,en,Personal-Others,Action,Andrew's best friend confessed to him that he cheated on his wife and doesn't know what to do next.,Andrew,C,C,"{
    ""answer"": ""C""
}",1
25,en,Personal-Others,Action,"Anita's best friend, Maya, has been feeling down lately due to a recent breakup and is finding hard to concentrate on her upcoming college project.",Anita,D,D,"```json
{
    ""answer"": ""D""
}
```",1
26,en,Personal-Others,Response,"Eileen has been diagnosed with a terminal disease. She has been visiting different specialists to find a cure. Yesterday, she was eating dinner with her sister when she received a call from the hospital. The hospital told her that found a possible solution to her predicament. Eileen dropped her phone and sobbed into her hands. Seeing this, her sister immediately went to her side.",Eileen's sister,B,,,0
27,en,Personal-Others,Response,My girlfriend told me that she has a painful stomachache after our lunch outside.,I,B,B,"{
    ""answer"": ""B""
}",1
28,en,Personal-Others,Response,"Jonas's younger brother confided in him that he did poorly on the college entrance examination, which he could only take once.",Jonas,B,,,0
29,en,Personal-Others,Response,"My best friend tells me that her dog, which she has had for 10 years, just passed away.",I,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
30,en,Personal-Others,Response,Iris' little sister reveals that she is upset about her weight gain.,Iris,C,C,"{
    ""answer"": ""C""
}",1
31,en,Personal-Others,Response,My sister is crying because her best friend moved away unexpectedly.,I,A,C,"{
    ""answer"": ""C""
}",0
32,en,Personal-Others,Response,Sheila's best friend just told she that she failed her driving test for the third time.,Sheila,B,B,"```json
{
    ""answer"": ""B""
}
```",1
33,en,Personal-Others,Response,Bobby's brother just confessed to Bobby that he accidentally backed into another car and left the scene without leaving a note.,Bobby,A,A,"{
    ""answer"": ""A""
}",1
34,en,Personal-Others,Response,My close friend confided to me that she feels lonely and unhappy because all her other friends are getting into relationships.,I,C,C,"```json
{
    ""answer"": ""C""
}
```",1
35,en,Personal-Others,Response,Barbara's sister told her she is feeling overwhelmed with her new job and it's causing her a lot of stress.,Barbara,C,C,"```json
{
    ""answer"": ""C""
}
```",1
36,en,Personal-Others,Response,Lily's younger brother eagerly told her about a painting he made but she doesn't think it's any good.,Lily,C,C,"```json
{
    ""answer"": ""C""
}
```",1
37,en,Personal-Others,Response,My roommate just confessed that she cheated on her boyfriend.,I,C,C,"```json
{
    ""answer"": ""C""
}
```",1
38,en,Personal-Others,Response,"Paula's daughter came crying yesterday, confessing to her mother she is pregnant. She is terrified because she doesn't know who the father is.",Paula,B,B,"{
    ""answer"": ""B""
}",1
39,en,Personal-Others,Response,"Kevin's best friend told him that her husband, who had been treating her badly, passed away, and she had mixed emotions.",Kevin,B,C,"{
    ""answer"": ""C""
}",0
40,en,Personal-Others,Response,My high school friend told me that she has a drinking problem and doesn't know what to do.,I,C,C,"```json
{
    ""answer"": ""C""
}
```",1
41,en,Personal-Others,Response,"Rebecca told her sister, Rachel, that she's been feeling very down lately and has lost interest in things she used to love doing.",Rachel,A,C,"{
    ""answer"": ""C""
}",0
42,en,Personal-Others,Response,"Yesterday, Annie gave me the news to her mom that she is pregnant. She said she is terrified and does not feel ready to be a mother.",Annie's mother,B,B,"```json
{
    ""answer"": ""B""
}
```",1
43,en,Personal-Others,Response,"After weeks of going back and forth, Owen finally told his parents about his serious financial problems due to job loss.",Owen's parents,D,D,"{
    ""answer"": ""D""
}",1
44,en,Personal-Others,Response,"Alice's best friend, Rose, tells her that she feels like she can't compete with other classmates in terms of grades and achievements.",Alice,B,D,"{
    ""answer"": ""D""
}",0
45,en,Personal-Others,Response,My father tells me that my mother has been unfaithful.,I,A,C,"```json
{
    ""answer"": ""C""
}
```",0
46,en,Personal-Others,Response,"Because of the recent acnes on her skin, Mary's roommate talks to her about how she has no confidence because of her appearance",Mary,D,,,0
47,en,Personal-Others,Response,"As a personal trainer, I have been training James for the past six months. Today, he expressed his frustration to me that he was not gaining any muscles after all our training.",I,C,C,"{
    ""answer"": ""C""
}",1
48,en,Personal-Others,Response,"Timmy's son has been spending the last several weeks preparing for his thesis proposal. When the results came out, his son told him that he didn't pass.",Timmy,C,C,"```json
{
    ""answer"": ""C""
}
```",1
49,en,Personal-Others,Response,Giada's son lost his soccer game and is feeling very upset because he blames himself for the team's defeat.,Giada,D,D,"{
    ""answer"": ""D""
}",1
50,en,Personal-Others,Response,Andre's mom shared with him that she thinks his dad has been constantly picking fights with her over trivial matters.,Andre,C,B,"```json
{
    ""answer"": ""B""
}
```",0
