qid,lang,category,question_type,scenario,subject,label,answer,model_response,score
133,en,Personal-Self,Response,Samuel's dad tells him that he is disappointed with Sam's decision to quit his job and pursue a career in music.,Samuel,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
134,en,Personal-Self,Response,Michael's long-term friend admits to him that he was the one who accidentally scratched Mike's new car.,Michael,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
135,en,Personal-Self,Response,"During their dinner together, Charlie's best friend points out a negative trait about him that he was not aware of before.",Charlie,D,D,"```json
    {
    ""answer"": ""D""
    }
```",1
136,en,Personal-Self,Response,Peter's best friend jokingly told him that he is the reason why their group of friends keep losing at video games.,Peter,D,C,"```json
    {
    ""answer"": ""C""
    }
```",0
137,en,Personal-Self,Response,My twin brother told me that he's going to move to another country to pursue his dream job.,I,C,C,"```json
{
    ""answer"": ""C""
}
```",1
138,en,Personal-Self,Response,Caleb found out that his closest friend has been gossiping about his personal issues to other friends.,Caleb,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
139,en,Personal-Self,Response,"Angela has been buried under the heavy workload of her PhD for the past few months, barely getting the time to do anything else. Today, her mom called and got angry at her for not dedicating time to her family and paying them a visit.",Angela,B,B,"```json
    {
    ""answer"": ""B""
    }
```",1
140,en,Personal-Self,Response,"John's older brother teased him about his recent weight gain in front of his friends, something that he has been struggling about recently.",John,D,D,"```json
{
    ""answer"": ""D""
}
```",1
141,en,Personal-Self,Response,"I got a haircut today that I was really proud of. But when my girlfriend saw it, she thought it didn't suit me and laughed.",I,D,B,"```json
    {
    ""answer"": ""B""
    }
```",0
142,en,Personal-Self,Response,"Allen's little sister told him that her pet dog, whom Allen has grown up with and is also fond of, has become severely ill.",Allen,D,D,"```json
{
    ""answer"": ""D""
}
```",1
143,en,Personal-Self,Response,"Gavin's best friend told him that he feels Gavin is spending too much time with his new girlfriend, neglecting their friendship.",Gavin,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
144,en,Personal-Self,Response,"Jack loved his girlfriend a lot and was heartbroken after the breakup. Today, Jack's best friend told him he's started dating his ex-girlfriend recently and wanted to see if that's ok with him.",Jack,B,D,"```json
    {
    ""answer"": ""D""
    }
```",0
145,en,Personal-Self,Response,"Ronaldo's best friend tells him that he intends to go on a road trip with his other friends, leaving him behind.",Ronaldo,C,D,"```json
    {
    ""answer"": ""D""
    }
```",0
146,en,Personal-Self,Response,"William's close friend kept bragging that he got a much higher score on the same exam that he did poorly on. William studied really hard for the test, but couldn't perform well.",William,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
147,en,Personal-Self,Response,"Earlier in the day, Oliver accidentally broke his little brother's toy while he was not around. His brother just came back from school and hasn't seen the toy yet.",Oliver,A,A,"```json
    {
    ""answer"": ""A""
    }
```",1
148,en,Personal-Self,Response,Martin's mother tells him that she doesn't like his new romantic partner and thinks he can do way better.,Martin,A,A,"```json
    {
    ""answer"": ""A""
    }
```",1
149,en,Personal-Self,Response,"Aaron's brother asked him for a significant amount of money loan to start a business. While Aaron can afford it, he's not sure about his brother's business skills.",Aaron,C,C,"```json
    {
    ""answer"": ""C""
    }
```",1
150,en,Personal-Self,Response,"Sean's mother just told him he needs to move out of the house, because he is all grown up and needs to work, while she needs more space.",Sean,B,C,"```json
{
    ""answer"": ""C""
}
```",0
