id,question,gold,prediction,attempts,score
17,Evan's sister cooked food late at night when she was staying over at his place and she left a huge mess in the kitchen that Evan discovered at breakfast,Ask his sister to clean up the mess as soon as she has the time,A,"['A', 'B', 'B', 'A', 'A']",0
18,"Gloria's housemates never buy essential non-food items when they are running low, relying on Gloria to buy them, which she resents. They know each other reasonably well, but have not yet discussed financial issues.",Introduce a new system for grocery shopping and sharing costs,A,"['A', 'A', 'A', 'A', 'A']",0
19,Bella is overseas when she finds out that her father has passed away from an illness he has had in recent years.,Contact her close relatives for information and support,A,"['A', 'NONE', 'NONE', 'A', 'B']",0
20,"Mina and her sister-in-law normally get along quite well, and the sister-in-law regularly baby-sits for her for a small fee. Lately she has also been cleaning away cobwebs, commenting on the mess, which Mina finds insulting.",Tell her sister-in-law these comments upset her,A,"['A', 'A', 'A', 'A', 'A']",0
21,"Jerry has had several short-term jobs in the same industry, but is excited about starting a job in a different industry. His father casually remarks that he will probably last six months.",Prove him wrong by working hard to succeed at the new job,B,"['B', 'C', 'B', 'D', 'B']",0
22,Michelle's friend Dara is moving overseas to live with her partner. They have been good friends for many years and Dara is unlikely to come back.,"Make sure she keeps in contact through email, phone or letter writing.",A,"['A', 'A', 'A', 'A', 'B']",0
23,"Shania has not spoken to her nephew for months, whereas when he was younger they were very close. She rings him but he says he can only talk for five minutes.","Understand that relationships change, but keep calling him from time to time",A,"['A', 'A', 'C', 'B', 'A']",0
24,Andrew's best friend confessed to him that he cheated on his wife and doesn't know what to do next.,Encourage his friend to talk to a relationship counselor,A,"['A', 'B', 'B', 'A', 'A']",0
25,"Anita's best friend, Maya, has been feeling down lately due to a recent breakup and is finding hard to concentrate on her upcoming college project.",Help her find resources to deal with a breakup and keep an open line of communication.,B,"['B', 'A', 'B', 'B', 'A']",0
26,"Eileen has been diagnosed with a terminal disease. She has been visiting different specialists to find a cure. Yesterday, she was eating dinner with her sister when she received a call from the hospital. The hospital told her that found a possible solution to her predicament. Eileen dropped her phone and sobbed into her hands. Seeing this, her sister immediately went to her side.","""Oh my god, what's wrong?""",A,"['A', 'A', 'A', 'A', 'A']",0
27,My girlfriend told me that she has a painful stomachache after our lunch outside.,"""I will take care of you during this time""",B,"['B', 'A', 'D', 'B', 'A']",0
28,"Jonas's younger brother confided in him that he did poorly on the college entrance examination, which he could only take once.","""The college entrance examination is not everything. Your future is in your hands.""",B,"['A', 'B', 'NONE', 'B', 'B']",0
29,"My best friend tells me that her dog, which she has had for 10 years, just passed away.","""I am sure your dog was happy that you are his owner""",A,"['B', 'A', 'A', 'A', 'A']",0
30,Iris' little sister reveals that she is upset about her weight gain.,"""How about we start working out together?""",C,"['C', 'C', 'B', 'C', 'B']",0
31,My sister is crying because her best friend moved away unexpectedly.,"""You can always call her when both of you are free""",C,"['C', 'B', 'C', 'C', 'B']",0
32,Sheila's best friend just told she that she failed her driving test for the third time.,"""Don't worry, just keep practicing and you'll pass next time""",A,"['A', 'A', 'A', 'B', 'A']",0
33,Bobby's brother just confessed to Bobby that he accidentally backed into another car and left the scene without leaving a note.,"""You should take responsibility for your actions""",A,"['A', 'A', 'A', 'A', 'A']",0
34,My close friend confided to me that she feels lonely and unhappy because all her other friends are getting into relationships.,"""I'm here for you, you are not alone""",B,"['B', 'A', 'B', 'B', 'B']",0
35,Barbara's sister told her she is feeling overwhelmed with her new job and it's causing her a lot of stress.,"""I can see that you're really stressed, let's talk about it. Maybe we can figure things out together""",NONE,"['NONE', 'NONE', 'B', 'NONE', 'B']",0
36,Lily's younger brother eagerly told her about a painting he made but she doesn't think it's any good.,"""I think you will improve more if you keep practicing""",A,"['A', 'B', 'A', 'B', 'A']",0
37,My roommate just confessed that she cheated on her boyfriend.,"""I think you should be honest and tell him about it""",B,"['B', 'C', 'A', 'A', 'B']",0
38,"Paula's daughter came crying yesterday, confessing to her mother she is pregnant. She is terrified because she doesn't know who the father is.","""Don't worry, you're not alone. We will figure this out together""",A,"['A', 'A', 'A', 'A', 'A']",0
39,"Kevin's best friend told him that her husband, who had been treating her badly, passed away, and she had mixed emotions.","""Don't worry, you can talk to me, I will always be here to support you.""",C,"['C', 'A', 'C', 'C', 'C']",0
40,My high school friend told me that she has a drinking problem and doesn't know what to do.,"""I appreciate you sharing this with me, let's work it out together""",A,"['A', 'A', 'A', 'A', 'A']",0
41,"Rebecca told her sister, Rachel, that she's been feeling very down lately and has lost interest in things she used to love doing.","""Do you wanna try some new hobbies together?""",B,"['B', 'B', 'B', 'A', 'B']",0
42,"Yesterday, Annie gave me the news to her mom that she is pregnant. She said she is terrified and does not feel ready to be a mother.","""Don't worry, you are not alone. We will figure this out together.""",A,"['A', 'B', 'A', 'A', 'A']",0
43,"After weeks of going back and forth, Owen finally told his parents about his serious financial problems due to job loss.","""We can lend you some money until you get back on your two feet""",A,"['A', 'A', 'NONE', 'A', 'B']",0
44,"Alice's best friend, Rose, tells her that she feels like she can't compete with other classmates in terms of grades and achievements.",“We can discover our shortcomings by comparing ourselves and working on those”,B,"['B', 'B', 'B', 'B', 'A']",0
45,My father tells me that my mother has been unfaithful.,"""I think you should have a heart-to-heart discussion with mom and figure out the next step""",NONE,"['NONE', 'A', 'NONE', 'NONE', 'A']",0
46,"Because of the recent acnes on her skin, Mary's roommate talks to her about how she has no confidence because of her appearance","""I can share my skincare tips with you to help with the acne""",A,"['A', 'A', 'B', 'A', 'B']",0
47,"As a personal trainer, I have been training James for the past six months. Today, he expressed his frustration to me that he was not gaining any muscles after all our training.","""I think you should look at your progress and how far you have come""",A,"['A', 'A', 'A', 'A', 'A']",0
48,"Timmy's son has been spending the last several weeks preparing for his thesis proposal. When the results came out, his son told him that he didn't pass.","""I think you are doing great! You can learn from your mistakes and create a better proposal""",A,"['A', 'A', 'A', 'A', 'NONE']",0
49,Giada's son lost his soccer game and is feeling very upset because he blames himself for the team's defeat.,"""It's ok, son. We need to train harder for next time.""",B,"['B', 'B', 'B', 'B', 'B']",0
50,Andre's mom shared with him that she thinks his dad has been constantly picking fights with her over trivial matters.,"""That's not fair to you mom, you should talk to him about it""",A,"['B', 'A', 'A', 'A', 'A']",0
51,"Lee's workmate fails to deliver an important piece of information on time, causing Lee to fall behind schedule as well.",Explain the urgency of the situation to the workmate,B,"['B', 'B', 'B', 'B', 'A']",0
52,Alexa and Connie have shared an office for years but Alexa gets a new job and Connie loses contact with her,"Contact Alexa and arrange to catch up, but also make friends with her replacement",A,"['A', 'A', 'A', 'C', 'A']",0
53,"Alan helps Trudy, a peer he works with occasionally, with a difficult task. Trudy complains that Alan's work isn't very good, and Alan responds that Trudy should be grateful he is doing her a favor. They argue.",Take a break and discuss the issue later when both are calm,C,"['C', 'C', 'C', 'D', 'A']",0
54,Helga's team has been performing very well. They receive poor-quality work from another team that they must incorporate into their own project.,Tell the project manager about the situation,A,"['A', 'A', 'A', 'A', 'A']",0
55,"Mike has been working at a new part-time job while he studies. His boss changed his shift times for the week at the last minute, without asking him in advance.",See if there is some reasonable explanation for the shift changes,A,"['A', 'A', 'A', 'A', 'A']",0
56,"Caroline found a restaurant online that had become famous for its rude customer service. She decided to go there for dinner. Once she sat down, instead of greeting, she was cursed by the waitress with many profanities.","Ignore the profanities and enjoy her meal, as she expected this type of behavior",A,"['A', 'B', 'A', 'A', 'B']",0
57,"Marcus's colleague is constantly making personal calls at work, disregarding how it affects the work environment.",Give hints to the colleague on workplace etiquette,D,"['D', 'D', 'A', 'A', 'D']",0
58,"Tonya's boss has been treating her unfairly and making her work life miserable. Despite multiple discussions with human resources, the situation doesn't seem to improve.",Start looking for a new job,B,"['B', 'B', 'B', 'B', 'B']",0
59,Harper's colleague has been crying in the office and has been pushing others away when they try to approach her.,Ensure her that she is not alone and has her support,C,"['C', 'C', 'B', 'B', 'C']",0
60,"Kevin, an office manager, notices workplace tension because two of his team members were in a heated altercation yesterday and haven't spoken to each other since.",Confront the two team members individually to understand their perspectives,C,"['A', 'C', 'C', 'A', 'C']",0
61,"Neil's new classmate appears to be struggling with English assignments due to English being his second language, and often seems left out during group projects.",Offer to help his new classmate with English after class,B,"['B', 'B', 'B', 'B', 'B']",0
62,Laura's team member disclosed to her in confidence that she is dealing with a personal crisis and struggles to focus on work. This is affecting the entire team's work efficiency.,Privately offer her some help and support,A,"['A', 'A', 'A', 'A', 'A']",0
63,"Trevor's colleague always jokes about his heavy workloads and lack of sleep, but Trevor could see it was starting to affect his performance and health.",Give his colleague advice on work-life balance,A,"['A', 'A', 'A', 'B', 'B']",0
64,Hannah's classmates always interrupts others to ask questions in class and makes fun of them.,Politely tell the classmate how her behavior affects other students,A,"['B', 'B', 'A', 'A', 'A']",0
65,Jessica's colleague is consistently taking credit for her ideas during team meetings.,Address the issue directly with her colleague,C,"['C', 'B', 'C', 'C', 'B']",0
66,"Max prided himself on his work being of the highest quality, and Max was warm-hearted. On a joint project with another team, his new teammates did a terrible job, thinking Max would fix their mistakes.",Contact someone on another team and point out their mistake and ask them to correct it,A,"['A', 'B', 'A', 'A', 'D']",0
67,A junior employee making routine adjustments to some of Theo's equipment accuses him of causing the equipment malfunction.,Explain that malfunctions were not his fault,A,"['A', 'A', 'A', 'A', 'A']",0
68,The woman who relieves Celia at the end of her shift is twenty minutes late without excuse or apology,Ask for an explanation of her lateness,A,"['A', 'A', 'NONE', 'A', 'A']",0
69,Jason finds out that some members of his social sports team have been saying that he is not a very good player.,Do some extra training to try and improve,A,"['C', 'A', 'A', 'A', 'A']",0
70,Joel has always dealt with one particular client but on a very complex job his boss gives the task to a co-worker instead. Joel wonders whether his boss thinks he can't handle the important jobs.,Do good work so that he will be given the complex tasks in future,A,"['A', 'A', 'A', 'A', 'A']",0
71,"A demanding client takes up a lot of Jill's time and then asks to speak to Jill's boss about her performance. Jill's boss assures her that her performance is fine, which Jill does not trust.",Think that she has been successful in the past and this client being difficult is not her fault.,A,"['A', 'A', 'A', 'A', 'A']",0
72,"Blair and Flynn usually go to a cafe after the working week and chat about what's going on in the company. After Blair's job is moved to a different section in the company, he stops coming to the cafe. Flynn misses these Friday talks.","Invite Blair again, maybe rescheduling for another time",A,"['A', 'A', 'A', 'A', 'A']",0
73,Hannah's access to essential resources has been delayed by her coworkers and her work is way behind schedule. Her progress report makes no mention of the lack of resources.,Document the lack of resources in her progress report,A,"['A', 'A', 'A', 'C', 'A']",0
74,"Janice is given an official warning for entering a restricted area. She was never informed that the area was restricted and would lose her job if she got two more warnings, which she thinks is unfair.",Explain that she didn't know it was restricted,A,"['A', 'A', 'A', 'B', 'A']",0
75,"In a group project, Joseph found that one of her teammates is not contributing as much as everyone else, causing delays in the submission of the project.",Report the situation to the professor and ask for suggestions,A,"['A', 'A', 'B', 'A', 'A']",0
76,Leo's colleague approaches him and tells him that he made a mistake in a report that will significantly impact the project timeline.,"""I think we need to inform our supervisor. Maybe you can get a chance to fix it""",C,"['C', 'B', 'C', 'C', 'C']",0
77,Mia's colleague shared during lunch break that her work performance is decreasing due to her personal problems at home.,"""That sounds really tough. Do you want to talk about it?""",B,"['A', 'B', 'B', 'B', 'B']",0
78,Kayla's co-workers are upset because she's been told her performance doesn't meet the company expectations and she's about to be fired.,"""That must be so hard! I'm sorry to hear that.""",A,"['A', 'NONE', 'A', 'A', 'A']",0
79,Kira's teammate admitted to her that she intentionally missed the competition because she wanted to give the chance to another player.,"""I appreciate your generous gesture but you should have discussed it with the team beforehand""",A,"['B', 'A', 'A', 'B', 'A']",0
80,Max's colleague arrived late for a team meeting and forgot to bring the crucial documents necessary for the discussion.,"""Everyone makes mistakes. Let's see how we can work around it.""",A,"['C', 'A', 'B', 'A', 'A']",0
81,Diana's coworker confides in her that she is having difficulties dealing with the constant criticism from their boss.,"""I am here with you! Let's improve together!""",NONE,"['NONE', 'NONE', 'NONE', 'B', 'NONE']",0
82,"Hours before the final exam, Arista's classmate reveals to her that she is struggling with the course material and is worried about failing the class.","""We all struggle sometimes. Would studying together help?""",B,"['B', 'B', 'B', 'B', 'B']",0
83,"Jerry's colleague, Peter, expressed his frustration to him after one of Peter's team members openly criticized his idea for the new company project.","""I think you need to discuss to clarify any misunderstandings""",D,"['D', 'A', 'D', 'B', 'C']",0
84,Maria's classmate confessed to her during lunch break that he had been cheating on tests because he couldn't understand what was being said in class.,"""I don't think cheating is the answer to the problem. You need to find a better study strategy.""",B,"['B', 'A', 'B', 'B', 'A']",0
85,Lauren's classmate has been skipping classes and feels like he can't keep up with the assignment work. He is asking Lauren for help.,"""You can talk to the professor and ask for extensions for the assignments""",A,"['A', 'A', 'A', 'A', 'A']",0
86,"Simon's colleague is constantly missing deadlines, causing a stressful work environment, and pushing her tasks onto others.","""We need to work together as a team so please communicate it with us if you have troubles""",B,"['C', 'B', 'B', 'A', 'A']",0
87,Hailey's teammate was feeling out of place as he was the only person of a certain ethnic background on her team.,"""I understand your concerns, let's see how we can make the team more inclusive""",A,"['A', 'A', 'C', 'A', 'A']",0
88,My boss told me that he has a painful stomachache after our lunch meeting today.,""" You should take some medications and try to get some rest today""",B,"['NONE', 'B', 'B', 'A', 'A']",0
89,"At a company meeting, Sally got into an argument with a female coworker over a comment she made about her idea. After the meeting, she approached Sally and told her that her comments had been misinterpreted.","""No problem, let's discuss and resolve the misunderstanding between us""",A,"['NONE', 'A', 'A', 'A', 'A']",0
90,"Antoine had noticed some things going on between his coworker and their boss. When asked, he found out that she has feelings for him, but he is married.","""You know, having feelings for someone is normal, but it's important to consider the consequences""",A,"['C', 'A', 'D', 'A', 'A']",0
91,Sia's coworker burst into tears in the middle of a presentation meeting due to her public speaking phobia.,"""It's alright! Take a deep breath before continuing.""",B,"['B', 'B', 'B', 'B', 'B']",0
92,My old neighbor invited me over for dinner tonight and we got to know each other better. She told me that she has been struggling with loneliness since her children moved out.,"""I can introduce you to some other neighbors""",A,"['C', 'A', 'A', 'C', 'A']",0
93,"One of Erin's classmates is thought to be extremely introverted. Today, he approached Erin and told her he feels left out because no one invites him to hang out after school.","""Do you want to hang out together this Saturday?""",A,"['A', 'A', 'B', 'B', 'A']",0
94,Cyrus' coworkers complained to him endlessly about their low wages and their boss's management style.,"""How about talking to the boss about this?""",A,"['A', 'A', 'A', 'A', 'A']",0
95,Yasmin and her colleague were having lunch together when she disclosed to Yasmin that her mother recently passed away.,"""I'm so sorry for your loss, I'm here if you need anything""",A,"['A', 'B', 'NONE', 'A', 'A']",0
96,Laurel and I work at a competitive sales company. She just shared with me that she didn't meet her sales target this month.,"""I understand your frustration. Is there any way I could assist you?""",C,"['C', 'C', 'C', 'C', 'C']",0
97,"Andy's classmate, Kyle, seemed devasted. When Andy asked him about it, he said the essay he had been working on for weeks was accidentally deleted.","""That must be so frustrating for you! Maybe you can ask an IT technician if they can help""",A,"['A', 'A', 'B', 'A', 'A']",0
98,"My coworker was really upset at work today. When I asked, he said its because he found out his wife is cheating on him.","""I'm really sorry to hear that. This must be hard on you, want to talk about it?""",B,"['A', 'B', 'B', 'B', 'A']",0
99,Jaden's classmate started crying because she failed a test she studied very hard for. Jaden passed the test with a high mark.,"""Don't worry, let's work hard together next time and strive to achieve better results""",A,"['A', 'B', 'C', 'B', 'A']",0
100,My coworker shared that he was being let go by the company due to the recent economy. He feels stressed and doesn't know what to do next.,"“This is not your fault, it's just the economic environment. I can help you prepare to find a new job.”",A,"['A', 'A', 'A', 'A', 'A']",0
101,Clayton has been overseas for a long time and returns to visit his family. So much has changed that Clayton feels left out.,Tell his family he feels left out,C,"['C', 'A', 'C', 'C', 'C']",0
102,Daniel was offered a prestigious position with a company located in another country. He decided the opportunity was worth moving to.,"Plan systematic contact methods, such as regular phone calls or emails every week",A,"['B', 'A', 'A', 'A', 'A']",0
103,Dorian needs to have an immediate surgery and is quite scared about the process. He has heard that it is quite painful and has a low success rate.,Talk to his doctor about what will happen,A,"['A', 'A', 'A', 'A', 'A']",0
104,"Julie hadn't seen Kevin for ages and was looking forward to their weekend trip. However, Kevin has changed a lot, and Julie finds that he is no longer an interesting traveling companion.",Understand that people will change. So move on and keep the good times in memories,B,"['B', 'B', 'B', 'A', 'A']",0
105,Jacob is having a large family gathering to celebrate him moving into his new home. He wants the day to go smoothly and is a little nervous about it.,Prepare ahead of time so he has everything he needs available,A,"['A', 'A', 'A', 'A', 'A']",0
106,"Alanna has been in a senior role at the company for several months. It is now stipulated that only long-term employees can fill these roles, and Alanna had not been around long enough to qualify.",Ask management if they can make exceptions,B,"['B', 'B', 'B', 'B', 'B']",0
107,"Anna is suffering from anxiety due to her upcoming final exams. She is afraid that if she tells her parents about her condition, they might overreact and put more pressure on her.",Discuss her anxiety with her parents and ask for their understanding,C,"['NONE', 'C', 'C', 'B', 'C']",0
108,"Concerned about her new job and managing her long-distance relationship, Felicity chooses work over her boyfriend. This makes her sad and distracts her from her new job.",Open up to a trusted good friend to share her feelings,A,"['A', 'A', 'A', 'A', 'B']",0
109,"Recently, Amy had been struggling with her mental health issues and was unable to cope and wanted to try therapy, but she couldn't afford it. She wanted to borrow money from her friends but was worried about being judged by them.",Openly discuss her decision to receive therapy with her family and friends,A,"['A', 'A', 'C', 'NONE', 'B']",0
110,"Lily has been in a long distance relationship with her boyfriend for the past five years. Recently, she has developed feelings for another person.",Discuss her feelings with her boyfriend,A,"['A', 'A', 'A', 'A', 'A']",0
111,"Jenny's sister has been borrowing money from her to pay off her bills. Although Jenny wants to help, she is struggling to pay her own bills.",Assist in finding her sister a job and work together,A,"['A', 'A', 'A', 'A', 'A']",0
112,Jamie has been thinking about breaking up with his girlfriend as he no longer feels attracted to her. But he also feels like he wouldn't find another partner and would be lonely after the break up.,"Spend time with friends and family, leaning on their support",A,"['A', 'A', 'A', 'A', 'A']",0
113,"Jackson has been dating his girlfriend for two years and he's thinking about proposing, but is hesitant because his parents usually do not approve of his decisions.",Discuss his intentions with her parents first,A,"['A', 'A', 'A', 'A', 'C']",0
114,Perry has recently discovered that he has an incurable disease that is going to debilitate him in the long term. He's struggling with how to reveal this information to his wife.,Look for an appropriate time and have a deep discussion on the matter,A,"['C', 'A', 'A', 'C', 'A']",0
115,"After a long period of staying single, Ned has started dating someone he likes but is now has fear of becoming vulnerable.",Open up to the other person about this fear and seek comfort,A,"['B', 'A', 'A', 'A', 'A']",0
116,Zoe's best friend has started dating someone whom Zoe knows has cheated in their past relationships. Her friend feels like she has found her soulmate.,Decide to keep quiet and not interfere in her friend's relationship,A,"['A', 'A', 'A', 'A', 'A']",0
117,"Juliana has a month until her wedding day. While this is something she dreamt of ever since she was a child, she feels overwhelmed by the preparation and has doubts about the wedding.",Discuss and divide responsibilities with her fiancé,B,"['B', 'C', 'B', 'B', 'A']",0
118,Laura has recently finished reading a book and realized she has differing political viewpoints from her close group of friends. She is worried about the potential conflict that might arise if she expresses her controversial opinions.,Ask her friends to share their opinions and have a conversation about it,A,"['A', 'A', 'A', 'A', 'A']",0
119,"Ethan has been wanting to propose to his girlfriend for months now, but is feeling unsure due to the current unstable economic conditions resulting from a global crisis.",Express his concerns and feelings to his girlfriend,A,"['A', 'A', 'A', 'A', 'A']",0
120,"Leah had a big fight with her best friend, and they haven't talked for two weeks now. She really misses her friend but she also feels hurt by things they said during the fight.",Ask for a conversation to discuss their feelings,A,"['A', 'A', 'A', 'A', 'A']",0
121,Melissa often argues with her boyfriend about small topics and she feels like it is mentally draining her.,Express her feelings to her boyfriend,B,"['B', 'B', 'B', 'A', 'A']",0
122,Greg just found out that his girlfriend cheated on him with his best friend. He is heartbroken and unsure of what to do.,Seek guidance from other trustworthy friends or family members,C,"['C', 'C', 'A', 'C', 'B']",0
123,"Maria has been in a long-distance relationship for 1 year. She really loves her partner, but feels lonely and disconnected because of the distance.",Try to plan more activities together online,A,"['A', 'A', 'B', 'B', 'A']",0
124,Analia has been diagnosed with chronic illness. She's afraid her boyfriend might leave her if she tells him about it because he might not want to deal with the emotional burden.,Discuss her illness with a close friend first to get guidance,A,"['A', 'A', 'A', 'A', 'A']",0
125,"After a very tough breakup, Nathan is struggling to overcome feelings of sadness and loneliness, while facing serious financial issues. He finds it hard to focus on anything else.",Start exercising daily to get his mind off of the breakup,A,"['NONE', 'A', 'NONE', 'A', 'A']",0
126,Ann's sister told her that she will miss her birthday party because she couldn't get days off from work.,"""I understand, it's unfortunate but we can always celebrate some other time""",A,"['A', 'NONE', 'A', 'B', 'A']",0
127,"Julie noticed that her brother had lost a lot of weight. When she asked him about it, he informed her of his recently developed eating disorder.","""I think we should find a professional to talk to""",A,"['A', 'A', 'A', 'C', 'B']",0
128,David's partner told him that she will not be able to attend the concert they had been planning to go together because she has to work late.,"""I completely understand, work can be demanding at times""",NONE,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",0
129,Amelia feels neglected by her long-term boyfriend since he started working on his PhD.,"""Can we discuss ways to spend more time together?""",A,"['NONE', 'A', 'A', 'NONE', 'A']",0
130,"Carlos's neighbor called and told him that his dog, which Carlos was deeply attached to, has died due to an accident with a drunk driver.","""I appreciate you telling me this. It's really hard to be without him but I will find a way to cope.""",B,"['B', 'B', 'B', 'C', 'B']",0
131,"I just found out my best friend has been talking behind my back. So, I decided to talk to him the next time we hung out.","“I heard you said bad things about me behind my back, can we have an honest conversation about why?”",A,"['A', 'A', 'A', 'A', 'A']",0
132,"Yulia's husband told her that he doesn't enjoy the meal she cooked for dinner, which she spent hours preparing.","""I'm sorry to hear that, what do you not like about it?""",A,"['B', 'A', 'B', 'A', 'A']",0
133,Samuel's dad tells him that he is disappointed with Sam's decision to quit his job and pursue a career in music.,"""I'm sorry you feel this way, but this is what makes me happy""",C,"['B', 'C', 'B', 'C', 'C']",0
134,Michael's long-term friend admits to him that he was the one who accidentally scratched Mike's new car.,"""It's alright, mistakes happen. Please get it repaired""",A,"['A', 'A', 'A', 'A', 'A']",0
135,"During their dinner together, Charlie's best friend points out a negative trait about him that he was not aware of before.","“Thank you for pointing this out, I will try my best to improve.”",A,"['A', 'A', 'A', 'A', 'NONE']",0
136,Peter's best friend jokingly told him that he is the reason why their group of friends keep losing at video games.,"""Well, you're not exactly a pro either""",A,"['C', 'A', 'A', 'A', 'A']",0
137,My twin brother told me that he's going to move to another country to pursue his dream job.,"""I am happy for you. This must be so exciting for you!""",A,"['A', 'A', 'A', 'NONE', 'A']",0
138,Caleb found out that his closest friend has been gossiping about his personal issues to other friends.,"""While I'm very hurt by this, I would want to talk about why you would do this""",A,"['A', 'A', 'A', 'A', 'A']",0
139,"Angela has been buried under the heavy workload of her PhD for the past few months, barely getting the time to do anything else. Today, her mom called and got angry at her for not dedicating time to her family and paying them a visit.","""Mom, I understand how you feel. My studies are demanding right now, but I promise I'll make it up to you once it eases a bit.""",A,"['A', 'A', 'A', 'A', 'A']",0
140,"John's older brother teased him about his recent weight gain in front of his friends, something that he has been struggling about recently.","""I am aware of my weight, you don't need to embarrass me in front of everyone""",B,"['NONE', 'B', 'A', 'B', 'A']",0
141,"I got a haircut today that I was really proud of. But when my girlfriend saw it, she thought it didn't suit me and laughed.","""I appreciate your honesty, but I really like it""",A,"['B', 'A', 'A', 'B', 'A']",0
142,"Allen's little sister told him that her pet dog, whom Allen has grown up with and is also fond of, has become severely ill.","""I'm here for you during this trying time""",A,"['A', 'A', 'A', 'A', 'B']",0
143,"Gavin's best friend told him that he feels Gavin is spending too much time with his new girlfriend, neglecting their friendship.","""I am sorry if you felt that way, we'll figure this out""",A,"['A', 'A', 'A', 'B', 'A']",0
144,"Jack loved his girlfriend a lot and was heartbroken after the breakup. Today, Jack's best friend told him he's started dating his ex-girlfriend recently and wanted to see if that's ok with him.","""Wow, that's unexpected but I hope you're happy together""",D,"['D', 'D', 'A', 'A', 'D']",0
145,"Ronaldo's best friend tells him that he intends to go on a road trip with his other friends, leaving him behind.","""That sounds fun, I hope you'll have a great time""",C,"['A', 'C', 'D', 'C', 'C']",0
146,"William's close friend kept bragging that he got a much higher score on the same exam that he did poorly on. William studied really hard for the test, but couldn't perform well.","""I'm really happy for you, but could we talk about something else?""",A,"['NONE', 'A', 'A', 'B', 'C']",0
147,"Earlier in the day, Oliver accidentally broke his little brother's toy while he was not around. His brother just came back from school and hasn't seen the toy yet.","""I'm sorry but I broke your toy, it was an accident""",A,"['A', 'A', 'A', 'B', 'A']",0
148,Martin's mother tells him that she doesn't like his new romantic partner and thinks he can do way better.,"""I value your opinion, but I'm happy with my partner""",NONE,"['NONE', 'B', 'NONE', 'A', 'B']",0
149,"Aaron's brother asked him for a significant amount of money loan to start a business. While Aaron can afford it, he's not sure about his brother's business skills.","""Let's first take a look at your business plan together""",D,"['D', 'D', 'D', 'D', 'D']",0
150,"Sean's mother just told him he needs to move out of the house, because he is all grown up and needs to work, while she needs more space.","“I understand, I'll start looking for a place to move out”",A,"['B', 'A', 'A', 'A', 'A']",0
