qid,lang,coarse_category,finegrained_category,scenario,subject,emo_label,emo_answer,cause_label,cause_answer,model_response,score
11,zh,complex_emotions,emotion_transition,小艾整夜都在为艺术展览而作画。她充满了怀疑，质疑这幅画是否足够好供公众欣赏。当她完成并离开时，她的小弟弟走进房间。他站在那里，凝视着画了一会儿，然后转向小艾，眼睛瞪大，脸上露出了灿烂的微笑。,小艾,A,A,A,A,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""A""
}
```",1
12,zh,complex_emotions,emotion_transition,小米一直害怕狗。有一天，在她的社区散步时，她在人行道上看到了一只受伤的小狗。她小心翼翼地走近，迅速用围巾包裹住它，然后带它去了兽医那里。几周后的多次就诊后，小米发现自己对这个小生命产生了感情。,小米,B,B,A,A,"```json
{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""A""
}
```",1
13,zh,complex_emotions,emotion_transition,莉娜整个星期都在尝试为对她非常重要的医学考试努力学习，但是由于她的社交生活，她一直没有机会。因此，伴随着高度的焦虑，她决定提前几个小时准备考试。在她学习的过程中，她收到了通知，由于她的学院爆发了病毒，考试被取消了。,莉娜,B,B,A,A,"```json
{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""A""
}
```",1
14,zh,complex_emotions,emotion_transition,等了约会对象将近两个小时之后，罗杰正考虑离开。这时他听到身后有一个熟悉的声音，是他的约会对象杰西卡。她疯狂地为迟到道歉，并解释说她是因为帮助了困在高速公路上的一家人才迟到的。,罗杰,B,B,A,A,"```json
{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""A""
}
```",1
15,zh,complex_emotions,emotion_transition,等了约会对象将近两个小时之后，罗杰正考虑离开。这时他听到身后有一个熟悉的声音，是他的约会对象杰西卡。她疯狂地为迟到道歉，并解释说她是因为帮助了困在高速公路上的一家人才迟到的。,杰西卡,A,A,A,A,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""A""
}
```",1
16,zh,complex_emotions,mixture_of_emotions,小詹和我是同事。我们十多年来一直是最好的朋友。我们的老板每年会颁发员工奖。今年，我们都申请了这个奖项，并且都很努力想拿奖。昨天结果出来了。我朋友得奖了。当我们得知这个消息时，他笑了但是没有庆祝。,我,A,A,E,C,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""C""
}
```",0
17,zh,complex_emotions,mixture_of_emotions,小詹和我是同事。我们十多年来一直是最好的朋友。我们的老板每年会颁发员工奖。今年，我们都申请了这个奖项，并且都很努力想拿奖。昨天结果出来了。我朋友得奖了。当我们得知这个消息时，他笑了但是没有庆祝。,小詹,A,A,C,C,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""C""
}
```",1
18,zh,complex_emotions,mixture_of_emotions,我昨天数学考试。前一晚，我复习了所有材料，做了许多练习。但是当考试来临时，我忘记了许多复习过的东西。考试过后，我的感觉很糟糕，因为我觉得我会不及格，即使已经很努力地学了。今天考试结果出来了。我以一个较低的分数通过了考试，因此我打算去问问老师，是否可以给我一个更高的分数。,我,C,C,E,D,"```json
{
    ""answer_q1"": ""C"",
    ""answer_q2"": ""D""
}
```",0
19,zh,complex_emotions,mixture_of_emotions,小查是泰勒斯威夫特的铁粉。她为了她的演唱会攒了一年的钱。有一天，她坐在咖啡厅，决定买一张泰勒的演唱会门票。她知道排队买票的人很多，但是还是愿意试试。30分钟后，她成为少数买到票的人之一。收到确认购买邮件的瞬间，她尖叫了。但她马上意识到自己的行为，然后向周围咖啡厅的顾客道歉。,小查,F,F,C,C,"```json
{
    ""answer_q1"": ""F"",
    ""answer_q2"": ""C""
}
```",1
20,zh,complex_emotions,mixture_of_emotions,小奈高中毕业，打算参加三年制学院，这是她第一次离开家人，独立生活。小奈打包行李的时候，尽管她已经长大了，也不再玩玩具，但她还是带上了妈妈小时候给她买的娃娃,小奈,B,B,D,D,"```json
{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""D""
}
```",1
21,zh,complex_emotions,mixture_of_emotions,我申请了8所本科学校。每封录取决定信都会在不同的时候给到我。我等到所有的信都收到了，才一同打开他们。 开完所有信后，我发现其中5所大学，包括我的梦校，都把我拒了。不过发录取信的3所大学中有一所给了我全额奖学金。,我,B,A,A,A,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""A""
}
```",0
22,zh,complex_emotions,mixture_of_emotions,今天的物理考试很难。不过，由于准备充分，我在很短的时间内就回答了考试中的大部分问题，并对自己的答案很有把握。但是当我答到最后一题时，我却怎么也想不出解题思路，结果考试剩下的时间都花在了这道题上。当我走出考场刚要和朋友讨论问题时，我突然想出了答案。,我,B,A,B,B,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""B""
}
```",0
23,zh,complex_emotions,mixture_of_emotions,小泰必须完成人机交互课程的一个小组项目。小组是随机分配的，泰勒很高兴能认识新队友。在几个星期的项目工作中，他发现只有他一个人在做，没有一个队友愿意帮忙。在所有项目提交和评估之后，他所在小组的项目被选为最佳项目，并获得了最高分。,小泰,D,E,C,A,"```json
{
    ""answer_q1"": ""E"",
    ""answer_q2"": ""A""
}
```",0
24,zh,complex_emotions,mixture_of_emotions,小劳拥有一家面包店。最近，她有机会参加一场备受关注的全国烘焙比赛。经过数周的艰苦准备，她成功进入了决赛，但不幸地获得了第二名。尽管如此，她的烘焙偶像，一位著名的糕点大厨，对她的工作给予了赞扬。,小劳,A,C,D,D,"```json
{
    ""answer_q1"": ""C"",
    ""answer_q2"": ""D""
}
```",0
25,zh,complex_emotions,mixture_of_emotions,阿本多年来一直梦想着买到他梦寐以求的汽车。他从工资中省下每一分钱，甚至做了额外的兼职工作。经过多年的辛苦工作，他终于有足够的钱来买他梦想中的汽车。在他去买车的那天，当他前往经销店的路上，他注意到一名急需帮助的无家可归者。本用他的积蓄中的相当一部分来帮助这个人，以便他可以开始新的生活。,阿本,B,F,B,B,"```json
{
    ""answer_q1"": ""F"",
    ""answer_q2"": ""B""
}
```",0
26,zh,complex_emotions,mixture_of_emotions,小帕是一名热情的足球运动员，他在高中足球队踢球。整年来，他一直努力练习，以赢得锦标赛。在比赛的最后一天，他的腿受伤了。然而，他仍决定完成比赛。令人吃惊的是，小帕打进了最后一个进球，带领球队获胜。然而，比赛结束后，他发现他的伤势严重到需要数周的医疗休息。,小帕,C,E,B,B,"```json
{
    ""answer_q1"": ""E"",
    ""answer_q2"": ""B""
}
```",0
27,zh,complex_emotions,mixture_of_emotions,劳拉把孩子留给丈夫，自己去采购了。她回家时看到丈夫和孩子躺在沙发上，孩子在他的胸口上睡着了。然后她才注意到客厅中的混乱。,劳拉,A,A,B,C,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""C""
}
```",0
28,zh,complex_emotions,mixture_of_emotions,每天傍晚，小莎按惯例给她位于家后院的蔬菜园浇水。一天晚上，附近操场上一群孩子踢足球，不小心把球踢进了她的菜园，导致一些植物受损。小莎为了表达她的愤怒，毁坏了他们的足球。第二天下午，她看到孩子们带着新的植物到来，为他们的行为道歉，并问能否拿回他们的足球。,小莎,B,B,B,A,"```json
{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""A""
}
```",0
29,zh,complex_emotions,mixture_of_emotions,每天傍晚，小莎按惯例给她位于家后院的蔬菜园浇水。一天晚上，附近操场上一群孩子踢足球，不小心把球踢进了她的菜园，导致一些植物受损。小莎为了表达她的愤怒，毁坏了他们的足球。第二天下午，她看到孩子们带着新的植物到来，为他们的行为道歉，并问能否拿回他们的足球。,孩子们,F,C,C,C,"```json
{
    ""answer_q1"": ""C"",
    ""answer_q2"": ""C""
}
```",0
30,zh,complex_emotions,unexpected_outcome,小盖过了漫长又艰难的一天。他早早起床去工作，被老板骂，被同事嘲笑。他突然觉得自己应该去找一个新工作。回家的路上，小盖买了一个冰淇淋，希望这能让他的心情好一点，但是还没吃冰淇淋就掉在地上。然后，他激动地大笑起来。,小盖,A,B,A,D,"```json
{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""D""
}
```",0
31,zh,complex_emotions,unexpected_outcome,小蕾快要从学院毕业了，此时她的朋友小琦说她不能来参加她的毕业典礼。毕业典礼那天，小蕾走上舞台领取学位证书时，她突然听到一声小琦的欢呼。,小蕾,F,F,A,A,"```json
{
    ""answer_q1"": ""F"",
    ""answer_q2"": ""A""
}
```",1
32,zh,complex_emotions,unexpected_outcome,小蕾快要从学院毕业了，此时她的朋友小琦说她不能来参加她的毕业典礼。毕业典礼那天，小蕾走上舞台领取学位证书时，她突然听到一声小琦的欢呼。,小琦,B,A,A,A,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""A""
}
```",0
33,zh,complex_emotions,unexpected_outcome,小丽的同学因为她成绩好而不喜欢她。上周，他们班级有一次非常难的化学考试。当试卷分数出来时，小丽意识到她是班级唯一一个及格的。所以，她马上撕掉试卷，然后扔掉以免其他人看见。,小丽,B,C,A,A,"```json
{
    ""answer_q1"": ""C"",
    ""answer_q2"": ""A""
}
```",0
34,zh,complex_emotions,unexpected_outcome,小丽的同学因为她成绩好而不喜欢她。上周，他们班级有一次非常难的化学考试。当试卷分数出来时，小丽意识到她是班级唯一一个及格的。所以，她马上撕掉试卷，然后扔掉以免其他人看见。,小丽的同班同学,F,D,A,C,"```json
{
    ""answer_q1"": ""D"",
    ""answer_q2"": ""C""
}
```",0
35,zh,complex_emotions,unexpected_outcome,小艾在她女儿阿达六岁生日时送了她一个音乐盒，里面装着她最喜欢的古典音乐。阿达非常喜欢这个音乐盒，常常在睡觉前每晚都听它。当阿达十岁时，她不小心弄坏了这个音乐盒。于是，她把坏掉的盒子藏了起来，从未向小艾提起这个事故。一天，当小艾在整理东西时，发现了坏掉的音乐盒，她安慰阿达，告诉她事故是难免的。,小艾,A,A,A,A,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""A""
}
```",1
36,zh,complex_emotions,unexpected_outcome,小艾在她女儿阿达六岁生日时送了她一个音乐盒，里面装着她最喜欢的古典音乐。阿达非常喜欢这个音乐盒，常常在睡觉前每晚都听它。当阿达十岁时，她不小心弄坏了这个音乐盒。于是，她把坏掉的盒子藏了起来，从未向小艾提起这个事故。一天，当小艾在整理东西时，发现了坏掉的音乐盒，她安慰阿达，告诉她事故是难免的。,阿达,C,C,A,A,"```json
{
    ""answer_q1"": ""C"",
    ""answer_q2"": ""A""
}
```",1
37,zh,complex_emotions,unexpected_outcome,自高中时起，莉丝和小蒙一直是最好的朋友。最近，莉丝对小蒙产生了感情，并决定告白。她反复排练后，在内心怦然而动的情况下，坦白了自己的感情。小蒙告诉她，他已经和另外一个人交往了几个月。莉丝祝贺了他，然后匆匆离开。,莉丝,A,A,B,B,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""B""
}
```",1
38,zh,complex_emotions,unexpected_outcome,自高中时起，莉丝和小蒙一直是最好的朋友。最近，莉丝对小蒙产生了感情，并决定告白。她反复排练后，在内心怦然而动的情况下，坦白了自己的感情。小蒙告诉她，他已经和另外一个人交往了几个月。莉丝祝贺了他，然后匆匆离开。,小蒙,B,B,F,E,"```json
{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""E""
}
```",0
39,zh,complex_emotions,unexpected_outcome,安娜是一位自学成才的艺术家，而她的妹妹伊莉从小就上艺术课。伊莉经常因为安娜缺乏创造力而批评她。有一天，伊莉参加了一场备受推崇的摄影比赛，却输了。然后她发现安娜以她的艺术作品赢得了同一比赛。于是，她上网发表评论，声称评审们不懂艺术。,安娜,A,A,A,A,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""A""
}
```",1
40,zh,complex_emotions,unexpected_outcome,安娜是一位自学成才的艺术家，而她的妹妹伊莉从小就上艺术课。伊莉经常因为安娜缺乏创造力而批评她。有一天，伊莉参加了一场备受推崇的摄影比赛，却输了。然后她发现安娜以她的艺术作品赢得了同一比赛。于是，她上网发表评论，声称评审们不懂艺术。,伊莉,A,C,A,A,"```json
{
    ""answer_q1"": ""C"",
    ""answer_q2"": ""A""
}
```",0
41,zh,complex_emotions,unexpected_outcome,莉丝为了买到她梦寐以求的汽车已经工作了很长一段时间。在经过长时间的储蓄后，她终于在今天买到了。与此同时，她的弟弟比尔正在经历财务困境，几周前不得不卖掉他的车。那天晚上，莉丝决定带比尔乘坐她的新车出去兜风。,莉丝,A,A,A,A,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""A""
}
```",1
42,zh,complex_emotions,unexpected_outcome,莉丝为了买到她梦寐以求的汽车已经工作了很长一段时间。在经过长时间的储蓄后，她终于在今天买到了。与此同时，她的弟弟比尔正在经历财务困境，几周前不得不卖掉他的车。那天晚上，莉丝决定带比尔乘坐她的新车出去兜风。,比尔,A,A,A,A,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""A""
}
```",1
43,zh,complex_emotions,unexpected_outcome,佳恩的妈妈很严格，在家里总是否定她的优点。一天，佳恩把考了95分的试卷给妈妈看。佳恩的妈妈只说了这么简单的试卷应该考满分。但是出门遇到了其他家长，聊到成绩时，佳恩妈妈会激动地夸奖自己的孩子。面对在外人前的夸奖，佳恩露出烦躁的表情。,佳恩,E,F,A,A,"```json
{
    ""answer_q1"": ""F"",
    ""answer_q2"": ""A""
}
```",0
44,zh,complex_emotions,unexpected_outcome,佳恩的妈妈很严格，在家里总是否定她的优点。一天，佳恩把考了95分的试卷给妈妈看。佳恩的妈妈只说了这么简单的试卷应该考满分。但是出门遇到了其他家长，聊到成绩时，佳恩妈妈会激动地夸奖自己的孩子。面对在外人前的夸奖，佳恩露出烦躁的表情。,佳恩的妈妈,A,A,A,A,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""A""
}
```",1
45,zh,complex_emotions,unexpected_outcome,安阁和小菲是一对感情很好的情侣，但是最近他们已经冷战两周了。每个月的28日，安阁都会买一束花放在客厅，表达对小菲的爱意。今天是28日，他路过花店，沉思过后依然买了一束花回家。,安阁,A,C,A,A,"```json
{
    ""answer_q1"": ""C"",
    ""answer_q2"": ""A""
}
```",0
46,zh,complex_emotions,unexpected_outcome,那场很难的化学考试的结果今天终于出来了。小维发现，尽管她没有通过测试，但她的分数高于她的竞争对手小白。,小维,A,A,A,A,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""A""
}
```",1
47,zh,complex_emotions,unexpected_outcome,那场很难的化学考试的结果今天终于出来了。小维发现，尽管她没有通过测试，但她的分数高于她的竞争对手小白。,小白,B,B,D,D,"```json
{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""D""
}
```",1
48,zh,complex_emotions,unexpected_outcome,安德烈是一名医生。由于过去几个月里经常发生紧急情况，他没有时间陪伴他的女友。所以，这个周末，他决定带他的女友去享受一个浪漫的约会之夜。正在快吃完主菜时，他接到医院的朋友的电话，告诉他好好享受这个夜晚。,安德烈,A,E,A,A,"```json
{
    ""answer_q1"": ""E"",
    ""answer_q2"": ""A""
}
```",0
49,zh,complex_emotions,unexpected_outcome,对哈维来说，今天是忙碌的一天。他起床晚了，去上班，没有吃早饭，被经理训斥，不得不加班，并且只吃了一餐。当他回家时，他想立刻上床休息，这时他看到了他父母早上发来的短信，那条短信他直到现在都没有机会查看，祝他生日快乐并留下了深情的祝福。,哈维,D,D,D,D,"```json
{
    ""answer_q1"": ""D"",
    ""answer_q2"": ""D""
}
```",1
50,zh,personal_beliefs_and_experiences,cultural_value,为了庆祝他搬进新家，小钟主持了乔迁派对并且邀请了他最好的一个朋友，小利。大概下午6点时，小利到达了小钟的家并且进屋时没有脱鞋。见此情景，小钟要求他脱鞋并且给了他一双拖鞋在室内用。,小钟,F,D,F,F,"```json
{
    ""answer_q1"": ""D"",
    ""answer_q2"": ""F""
}
```",0
