qid,lang,coarse_category,finegrained_category,scenario,subject,emo_label,emo_answer,cause_label,cause_answer,model_response,score
23,en,complex_emotions,mixture_of_emotions,"Taylor had to complete a group project for the human-computer interaction course. The teams were assigned randomly, and Taylor was excited about meeting new teammates. During weeks of working on the project, he realized he was the only one doing the work, and none of his teammates were willing to help. After all projects were submitted and assessed, his group's project was selected as the best and got the highest mark.",Taylor,B,B,F,C,"```json
{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""C""
}
```",0
24,en,complex_emotions,mixture_of_emotions,"Laura owns a bakery. She recently got a chance to compete in a high-profile national baking competition. After weeks of grueling preparation, she made it to the final round but unfortunately finished in second place. Despite this, she was praised for her work by her baking idol, a renowned pastry chef.",Laura,A,A,F,F,"```json
{""answer_q1"": ""A"", ""answer_q2"": ""F""}
```",1
25,en,complex_emotions,mixture_of_emotions,"Ben has been aiming to buy his dream car for many years. He has saved up every single penny he could save from his salary and even did extra part-time jobs for this. After years of hard work, he finally had enough money to buy his dream car. The day he went to buy the car, as he was on his way to the dealership, he noticed a homeless man on the road in dire need of help. Ben helped the man with a considerable part of his savings so that he could start a new life.",Ben,E,E,A,A,"```json
{
""answer_q1"": ""E"",
""answer_q2"": ""A""
}
```",1
26,en,complex_emotions,mixture_of_emotions,"Patrick is a passionate soccer player on his high school team. For the whole year, he has been practicing hard to win the championship. On the final day of the match, his leg gets injured. Yet, he still decides to finish the game. Surprisingly, Patrick scored the final goal, leading the team to victory. However, after the match, he found out that his injury needed numerous weeks of medical rest.",Patrick,C,C,C,C,"```json
{
""answer_q1"": ""C"",
""answer_q2"": ""C""
}
```",1
27,en,complex_emotions,mixture_of_emotions,"Lora left her husband with her toddler to go grocery shopping. When she got back home, she saw her husband with her toddler on top of his chest, sleeping on the couch, before noticing the mess in the living room.",Lora,C,C,F,F,"```json
{
""answer_q1"": ""C"",
""answer_q2"": ""F""
}
```",1
28,en,complex_emotions,mixture_of_emotions,"Every evening, Alexa used to water her vegetable garden, which was in the backyard of her home. One evening, a group of children playing soccer in the nearby ground accidentally kicked the ball into her garden, damaging some of her plants. Alexa destroyed their ball to show her anger. The following afternoon, she saw the children arrive with new plants, apologizing for their actions and asking if they could have their ball back.",Alexa,F,F,B,B,"```json
{
""answer_q1"": ""F"",
""answer_q2"": ""B""
}
```",1
29,en,complex_emotions,mixture_of_emotions,"Every evening, Alexa used to water her vegetable garden, which was in the backyard of her home. One evening, a group of children playing soccer in the nearby ground accidentally kicked the ball into her garden, damaging some of her plants. Alexa destroyed their ball to show her anger. The following afternoon, she saw the children arrive with new plants, apologizing for their actions and asking if they could have their ball back.",the children,A,A,F,F,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""F""
}
```",1
30,en,complex_emotions,unexpected_outcome,"Gabriel has had a long and tough day. He woke up early to go to work, got shouted at by his boss, and was laughed at by his coworkers. Then, he found that he might need to find a new job due to his recent failures. On his way home, Gabriel bought an ice cream to make himself feel better, but it fell to the ground right as he wanted to start eating it. Then, he started laughing hysterically.",Gabriel,A,A,D,D,"```json
{""answer_q1"": ""A"", ""answer_q2"": ""D""}
```",1
31,en,complex_emotions,unexpected_outcome,"When Clai was about to graduate from college, Michi, her best friend, told her that she wasn't able to come to her graduation. During the graduation day, Clai was walking down the stage to receive her diploma when suddenly she heard loud cheering and saw Michi.",Clai,F,F,A,A,"```json
{
""answer_q1"": ""F"",
""answer_q2"": ""A""
}
```",1
32,en,complex_emotions,unexpected_outcome,"When Clai was about to graduate from college, Michi, her best friend, told her that she wasn't able to come to her graduation. During the graduation day, Clai was walking down the stage to receive her diploma when suddenly she heard loud cheering and saw Michi.",Michi,B,B,A,A,"```json
{
""answer_q1"": ""B"",
""answer_q2"": ""A""
}
```",1
33,en,complex_emotions,unexpected_outcome,"Rea is disliked by her classmates due to her high grades. Last week, their class had a very challenging chemistry test. When the papers were graded and handed out, Rea realized that she was the only student who passed the test among her classmates. So, she immediately tore her test paper and threw it out before anyone else saw it.",Rea,B,B,B,B,"```json
{
""answer_q1"": ""B"",
""answer_q2"": ""B""
}
```",1
34,en,complex_emotions,unexpected_outcome,"Rea is disliked by her classmates due to her high grades. Last week, their class had a very challenging chemistry test. When the papers were graded and handed out, Rea realized that she was the only student who passed the test among her classmates. So, she immediately tore her test paper and threw it out before anyone else saw it.",Rea's Classmates,F,F,C,C,"```json
{
""answer_q1"": ""F"",
""answer_q2"": ""C""
}
```",1
35,en,complex_emotions,unexpected_outcome,"Ella gave her daughter Ada a music box for her 6th birthday, it played her favorite classical songs. Ada loved the music box and used to listen to it every night before bed. When Ada turned 10, she accidentally broke the music box. So, she hid the broken box and never mentioned the incident to Ella. One day, while cleaning, Ella found the broken music box and comforted Ada telling her that accidents happen.",Ella,A,A,B,B,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""B""
}
```",1
36,en,complex_emotions,unexpected_outcome,"Ella gave her daughter Ada a music box for her 6th birthday, it played her favorite classical songs. Ada loved the music box and used to listen to it every night before bed. When Ada turned 10, she accidentally broke the music box. So, she hid the broken box and never mentioned the incident to Ella. One day, while cleaning, Ella found the broken music box and comforted Ada telling her that accidents happen.",Ada,F,F,E,E,"```json
{
""answer_q1"": ""F"",
""answer_q2"": ""E""
}
```",1
37,en,complex_emotions,unexpected_outcome,"Elise and Damon had been the best of friends since their high school days. Recently, Elise developed feelings for Damon and decided to confess. She rehearsed and finally, with her heart pounding, she confessed her feelings. Damon told her he had been in a relationship with someone else for a couple of months. Elise congratulated him and left hurriedly.",Elise,A,A,C,C,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""C""
}
```",1
38,en,complex_emotions,unexpected_outcome,"Elise and Damon had been the best of friends since their high school days. Recently, Elise developed feelings for Damon and decided to confess. She rehearsed and finally, with her heart pounding, she confessed her feelings. Damon told her he had been in a relationship with someone else for a couple of months. Elise congratulated him and left hurriedly.",Damon,E,E,D,D,"```json
{
""answer_q1"": ""E"",
""answer_q2"": ""D""
}
```",1
39,en,complex_emotions,unexpected_outcome,"Diana was a self-taught artist, while her sister Eliana has been going to classes since she was a child. Eliana often criticized Diana for her lack of creativity. One day, Eliana entered a prestigious photo contest and lost. She then found out that Diana had won the same contest with her artwork. So, she went online to write comments on how the judges do not understand art.",Diana,A,A,C,C,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""C""
}
```",1
40,en,complex_emotions,unexpected_outcome,"Diana was a self-taught artist, while her sister Eliana has been going to classes since she was a child. Eliana often criticized Diana for her lack of creativity. One day, Eliana entered a prestigious photo contest and lost. She then found out that Diana had won the same contest with her artwork. So, she went online to write comments on how the judges do not understand art.",Eliana,A,A,A,A,"```json
{""answer_q1"": ""A"", ""answer_q2"": ""A""}
```",1
41,en,complex_emotions,unexpected_outcome,"Alice had been working for a long time to afford the car of her dreams. After a lot of saving up, she was able to buy it today. Meanwhile, her brother Bill was going through financial struggles and had to sell his car a few weeks ago. Alice decided to take Bill for a ride in her new car that evening.",Alice,A,A,B,B,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""B""
}
```",1
42,en,complex_emotions,unexpected_outcome,"Alice had been working for a long time to afford the car of her dreams. After a lot of saving up, she was able to buy it today. Meanwhile, her brother Bill was going through financial struggles and had to sell his car a few weeks ago. Alice decided to take Bill for a ride in her new car that evening.",Bill,A,A,C,C,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""C""
}
```",1
43,en,complex_emotions,unexpected_outcome,"Jane's mother is very strict and always undermines her accomplishments at home. One day, Jane showed her mother the test paper on which she had scored 95 points out of 100. Her mother only said that she should have gotten full marks on such a simple test. However, when other parents are present, she openly talks about Jane's grades and excitedly praises her daughter.",Jane,E,E,C,C,"```json
{
""answer_q1"": ""E"",
""answer_q2"": ""C""
}
```",1
44,en,complex_emotions,unexpected_outcome,"Jane's mother is very strict and always undermines her accomplishments at home. One day, Jane showed her mother the test paper on which she had scored 95 points out of 100. Her mother only said that she should have gotten full marks on such a simple test. However, when other parents are present, she openly talks about Jane's grades and excitedly praises her daughter.",Jane's mother,A,B,A,D,"```json
{""answer_q1"": ""B"", ""answer_q2"": ""D""}
```",0
45,en,complex_emotions,unexpected_outcome,"Angie and Shawn are a very close couple, but they haven't been on the best terms for the last two weeks. Today is the 28th. On this day of every month, Shawn would buy a bouquet of flowers and put them in the living room to express his love for Angie. As Shawn passed by the flower shop, he started pondering deeply, and after some time, he walked in to buy a bouquet.",Shawn,F,F,B,B,"```json
{
""answer_q1"": ""F"",
""answer_q2"": ""B""
}
```",1
46,en,complex_emotions,unexpected_outcome,"The result of the hard chemistry test is finally out today. Victoria found out that, while she didn't pass the test, she earned a higher score than Bertha, her rival.",Victoria,A,A,A,A,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""A""
}
```",1
47,en,complex_emotions,unexpected_outcome,"The result of the hard chemistry test is finally out today. Victoria found out that, while she didn't pass the test, she earned a higher score than Bertha, her rival.",Bertha,A,A,F,F,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""F""
}
```",1
48,en,complex_emotions,unexpected_outcome,"Andre is a doctor. Due to the constant emergencies happening in the past few months, Andre hasn't had the time to be with his girlfriend. So, this weekend, he decided to take his girlfriend on a romantic date night. Nearing the end of the main course, he got a call from his friend at the hospital telling him to enjoy the night.",Andre,A,A,A,A,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""A""
}
```",1
49,en,complex_emotions,unexpected_outcome,"Today was a hectic day for Harvey. He woke up late to go to the office, skipped his breakfast, got scolded by his manager, had to work late, and ate one meal only. When he came home, he wanted to get to bed immediately when he saw his parents' morning text that he had been unable to check until now, wishing him the happiest birthday and leaving heartfelt messages.",Harvey,C,C,B,B,"```json
{
""answer_q1"": ""C"",
""answer_q2"": ""B""
}
```",1
50,en,personal_beliefs_and_experiences,cultural_value,"To celebrate moving into his new house, Zhongli hosted a housewarming party and invited one of his best friends, Ollie. Around 6 p.m., Ollie arrived at Zhongli's house and entered without taking off his shoes. Seeing this, Zhongli told him to take off his shoes and offered a pair of slippers to use inside the house.",Zhongli,D,D,C,C,"```json
{
""answer_q1"": ""D"",
""answer_q2"": ""C""
}
```",1
