qid,lang,coarse_category,finegrained_category,scenario,subject,emo_label,emo_answer,cause_label,cause_answer,model_response,score
119,en,emotional_cues,visual_cues,"Chris absolutely loves drinking alcohol, regardless of its taste, and considers it his favorite hobby. His favorite type of alcohol is Whiskey. Yesterday, he went to his friend's bar to try out their new Whiskey-based cocktail. As Chris finished the drink in one big gulp, his nose wrinkled, and his eyes diminished. He then thanked his friend and asked for another cup.",Chris,E,D,B,F,"```json
{
""answer_q1"": ""D"",
""answer_q2"": ""F""
}
```",0
120,en,emotional_cues,visual_cues,"Vivian had a habit of shaking her legs as a way of having fun or when she wanted to focus. One day, when she was doing her project in the lab and shaking her leg, Jane approached her and asked if she was okay.",Vivian,A,A,F,F,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""F""
}
```",1
121,en,emotional_cues,visual_cues,"Vivian had a habit of shaking her legs as a way of having fun or when she wanted to focus. One day, when she was doing her project in the lab and shaking her leg, Jane approached her and asked if she was okay.",Jane,F,F,B,B,"```json
{
""answer_q1"": ""F"",
""answer_q2"": ""B""
}
```",1
122,en,emotional_cues,visual_cues,"For the new semester, the university has organized a 10-mile marathon for new students. Isaac is new to running, but he wants to participate in this marathon and finish it, regardless of how long it takes him. So, he prepared many days prior to the event. On the day of the event, after crossing the finish line, Isaac stood with his arms akimbo and face frowning. Then, he found a smile on his face.",Isaac,E,E,C,C,"```json
{
""answer_q1"": ""E"",
""answer_q2"": ""C""
}
```",1
123,en,emotional_cues,visual_cues,"Joanne was pretty and likable. She hoped that she could find a partner on her terms. However, she kept receiving love letters from anonymous admirers. Every morning, she would see the letters piling in her school locker. She took a deep breath and counted to five before smiling and going to the class.",Joanne,A,A,A,A,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""A""
}
```",1
124,en,emotional_cues,visual_cues,"It was the day of the school's talent competition. Backstage, Sara, who was performing her stand-up comedy show, felt like she had prepared a good sketch for her act and only needed one last rehearsal. So she started pacing back and forth while mumbling words.",Sara,A,C,B,B,"```json
{
""answer_q1"": ""C"",
""answer_q2"": ""B""
}
```",0
125,en,emotional_cues,visual_cues,"When Tommy participated in the community election, he asked his friends to add fake votes to the number of votes he got so that he could win. When the results were announced, Tommy realized that he had won the election, he covered his mouth and gave an expression of awe while thanking those who voted for him.",Tommy,F,C,A,A,"```json
{
    ""answer_q1"": ""C"",
    ""answer_q2"": ""A""
}
```",0
126,en,emotional_cues,visual_cues,"India and Jane had prepared a surprise for their best friend, Blair, whose birthday was in 3 days. A day before Blair's birthday, the three of them were playing together in Blair's room and India started talking about the surprise. Before India could talk further, Jane faked a cough and gave India a stare.",India,A,A,C,C,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""C""
}
```",1
127,en,emotional_cues,visual_cues,"India and Jane had prepared a surprise for their best friend, Blair, whose birthday was in 3 days. A day before Blair's birthday, the three of them were playing together in Blair's room and India started talking about the surprise. Before India could talk further, Jane faked a cough and gave India a stare.",Jane,B,B,C,C,"```json
{
""answer_q1"": ""B"",
""answer_q2"": ""C""
}
```",1
128,en,emotional_cues,visual_cues,"India and Jane had prepared a surprise for their best friend, Blair, whose birthday was in 3 days. A day before Blair's birthday, the three of them were playing together in Blair's room and India started talking about the surprise. Before India could talk further, Jane faked a cough and gave India a stare.",Blair,C,C,A,A,"```json
{
""answer_q1"": ""C"",
""answer_q2"": ""A""
}
```",1
129,en,emotional_cues,visual_cues,"Richelle dropped off her 3-year-old daughter to her mother today to attend a work meeting. She specifically reminded her mother not to spoil her daughter too much. When she went to pick her daughter up from her mother, she saw that her daughter was eating chocolate, while happily smiling and her face and hands covered in chocolate.",Richelle,D,D,F,F,"```json
{
    ""answer_q1"": ""D"",
    ""answer_q2"": ""F""
}
```",1
130,en,emotional_cues,visual_cues,"In a trivia challenge, Aaron's team was lagging behind. Suddenly, a question from his expertise area popped up, and Aaron swiftly buzzed in to answer. He looked around at his team with a smirk and winked. His answer was announced incorrect.",Aaron,E,E,D,D,"```json
{
""answer_q1"": ""E"",
""answer_q2"": ""D""
}
```",1
131,en,emotional_cues,visual_cues,"Nadia was incredibly excited about her upcoming graduation. On the day she was supposed to receive her degree, her parents said they had a surprise for her. When they revealed two new hardcover books as her surprise graduation gift, she managed a smile.",Nadia,B,B,B,B,"```json
{
""answer_q1"": ""B"",
""answer_q2"": ""B""
}
```",1
132,en,emotional_cues,visual_cues,"Rosy and Andie went on a hike. Rosy's blood sugar gets low very quickly, so she brought chocolates with her. During the hike, Andie saw Rosy's face had gone pale while she was grabbing a piece of chocolate, so she said ""Sorry, did I scare you?"".",Rosy,B,E,A,B,"```json
{
""answer_q1"": ""E"",
""answer_q2"": ""B""
}
```",0
133,en,emotional_cues,visual_cues,"Rosy and Andie went on a hike. Rosy's blood sugar gets low very quickly, so she brought chocolates with her. During the hike, Andie saw Rosy's face had gone pale while she was grabbing a piece of chocolate, so she said ""Sorry, did I scare you?"".",Andie,A,B,B,C,"```json
{
""answer_q1"": ""B"",
""answer_q2"": ""C""
}
```",0
134,en,perspective_taking,faux_pas,"Lauren's birthday is coming, and I bought her a doll as a surprise gift. She came to my place two days before her birthday, and I forgot to cover the gift left on my nightstand. Lauren started laughing the moment she saw it. She called the doll ugly and made jokes about why anyone would even buy such a doll. I told her that maybe some people consider it a nice gift. She disagreed.",I,E,E,A,A,"```json
{
""answer_q1"": ""E"",
""answer_q2"": ""A""
}
```",1
135,en,perspective_taking,faux_pas,"Lauren's birthday is coming, and I bought her a doll as a surprise gift. She came to my place two days before her birthday, and I forgot to cover the gift left on my nightstand. Lauren started laughing the moment she saw it. She called the doll ugly and made jokes about why anyone would even buy such a doll. I told her that maybe some people consider it a nice gift. She disagreed.",Lauren,A,B,C,A,"```json
{
""answer_q1"": ""B"",
""answer_q2"": ""A""
}
```",0
136,en,perspective_taking,faux_pas,"Naira went to the school theatre to watch the Lion King recital brought by the school's theatre club. Little did she know that Harry, her close friend, was the actor for Simba, who was under heavy makeup for his role. Once the performance was over, there was a chance for some selected audience to meet the performers backstage, Naira being one of them. Naira told the crew that apart from Simba's performance, she enjoyed the show a lot.",Naira,B,B,A,A,"```json
{""answer_q1"": ""B"", ""answer_q2"": ""A""}
```",1
137,en,perspective_taking,faux_pas,"Naira went to the school theatre to watch the Lion King recital brought by the school's theatre club. Little did she know that Harry, her close friend, was the actor for Simba, who was under heavy makeup for his role. Once the performance was over, there was a chance for some selected audience to meet the performers backstage, Naira being one of them. Naira told the crew that apart from Simba's performance, she enjoyed the show a lot.",Harry,F,F,B,B,"```json
{""answer_q1"": ""F"", ""answer_q2"": ""B""}
```",1
138,en,perspective_taking,faux_pas,"Alina and several colleagues are going to have a dinner meeting with a new business partner, and they plan to go to Bill's Bar after dinner to continue chatting. She wanted to tell more colleagues to join the bar party after dinner, so she sent a message to the work group, but she missed one word without realizing it. The message she sent was to go to Bill's Bar for dinner. It turned out that her colleague Samantha arrived at Bill's Bar during dinner time and found that no one was there.",Alina,F,F,A,A,"```json
{
""answer_q1"": ""F"",
""answer_q2"": ""A""
}
```",1
139,en,perspective_taking,faux_pas,"Alina and several colleagues are going to have a dinner meeting with a new business partner, and they plan to go to Bill's Bar after dinner to continue chatting. She wanted to tell more colleagues to join the bar party after dinner, so she sent a message to the work group, but she missed one word without realizing it. The message she sent was to go to Bill's Bar for dinner. It turned out that her colleague Samantha arrived at Bill's Bar during dinner time and found that no one was there.",Samantha,B,A,C,C,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""C""
}
```",0
140,en,perspective_taking,faux_pas,"John invited his friends, Mark and Alice, over for a game night. Mark arrived early, and as John was setting up, he saw a piece of abstract art on the wall. Mark, not realizing it was John's own creation, mentioned it looked like it was made by a child. Alice, who was familiar with the paintings, remained silent, giving a knowing glance to John.",John,C,C,C,C,"```json
{
    ""answer_q1"": ""C"",
    ""answer_q2"": ""C""
}
```",1
141,en,perspective_taking,faux_pas,"John invited his friends, Mark and Alice, over for a game night. Mark arrived early, and as John was setting up, he saw a piece of abstract art on the wall. Mark, not realizing it was John's own creation, mentioned it looked like it was made by a child. Alice, who was familiar with the paintings, remained silent, giving a knowing glance to John.",Mark,D,D,E,D,"```json
{
""answer_q1"": ""D"",
""answer_q2"": ""D""
}
```",0
142,en,perspective_taking,faux_pas,"John invited his friends, Mark and Alice, over for a game night. Mark arrived early, and as John was setting up, he saw a piece of abstract art on the wall. Mark, not realizing it was John's own creation, mentioned it looked like it was made by a child. Alice, who was familiar with the paintings, remained silent, giving a knowing glance to John.",Alice,D,D,D,D,"```json
{
    ""answer_q1"": ""D"",
    ""answer_q2"": ""D""
}
```",1
143,en,perspective_taking,faux_pas,"Mina's mother was trying a new recipe for dinner. When Mina came home after doing sports with her friends, she smelled something bad and asked her mom if some food had gone bad in the house.",Mina,B,B,C,C,"```json
{
""answer_q1"": ""B"",
""answer_q2"": ""C""
}
```",1
144,en,perspective_taking,faux_pas,"Mina's mother was trying a new recipe for dinner. When Mina came home after doing sports with her friends, she smelled something bad and asked her mom if some food had gone bad in the house.",Mina's mother,D,D,B,B,"```json
{
""answer_q1"": ""D"",
""answer_q2"": ""B""
}
```",1
145,en,perspective_taking,faux_pas,"Emily was invited to a cultural event showcasing traditional dance and music from various countries. She attended the event with her friend Sarah. During one performance that Sarah was enjoying a lot, Emily couldn't help but burst into laughter at the intricate dance moves of the performers.",Emily,E,E,B,B,"```json
{
    ""answer_q1"": ""E"",
    ""answer_q2"": ""B""
}
```",1
146,en,perspective_taking,faux_pas,"Emily was invited to a cultural event showcasing traditional dance and music from various countries. She attended the event with her friend Sarah. During one performance that Sarah was enjoying a lot, Emily couldn't help but burst into laughter at the intricate dance moves of the performers.",Sarah,B,B,B,B,"```json
{
""answer_q1"": ""B"",
""answer_q2"": ""B""
}
```",1
147,en,perspective_taking,faux_pas,"Fatima and her family were invited to a dinner at their neighbor's house. Fatima's neighbor, Jennifer, had recently adopted a vegetarian diet for ethical reasons. During dinner, Jennifer served a delicious vegetarian lasagna that she had made herself. Fatima, who was unaware of Jennifer's diet choice, took a bite and immediately made a face of disgust. She asked Jennifer why she didn't add any meat to the lasagna, as it would taste much better that way.",Fatima,C,D,F,F,"```json
{
""answer_q1"": ""D"",
""answer_q2"": ""F""
}
```",0
148,en,perspective_taking,faux_pas,"Fatima and her family were invited to a dinner at their neighbor's house. Fatima's neighbor, Jennifer, had recently adopted a vegetarian diet for ethical reasons. During dinner, Jennifer served a delicious vegetarian lasagna that she had made herself. Fatima, who was unaware of Jennifer's diet choice, took a bite and immediately made a face of disgust. She asked Jennifer why she didn't add any meat to the lasagna, as it would taste much better that way.",Jennifer,F,F,C,B,"```json
{
""answer_q1"": ""F"",
""answer_q2"": ""B""
}
```",0
149,en,perspective_taking,faux_pas,"Jake was running late for an important client meeting. In his rush to get out the door, he accidentally grabbed one brown loafer and one black dress shoe. When he arrived at the office, his coworker Dan noticed the mismatched shoes and chuckled.",Jake,B,B,B,B,"```json
{
""answer_q1"": ""B"",
""answer_q2"": ""B""
}
```",1
150,en,perspective_taking,faux_pas,"Jake was running late for an important client meeting. In his rush to get out the door, he accidentally grabbed one brown loafer and one black dress shoe. When he arrived at the office, his coworker Dan noticed the mismatched shoes and chuckled.",Dan,A,A,B,B,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""B""
}
```",1
