qid,lang,category,question_type,scenario,subject,label,answer,model_response,score
27,zh,Personal-Others,Response,我的女朋友告诉我，我们在外面吃完午饭后，她的胃痛得厉害。,我,B,B,"```json
{
    ""answer"": ""B""
}
```",1
28,zh,Personal-Others,Response,乔纳斯的弟弟向乔纳斯吐露，他仅此一次的高考考得很差。,乔纳斯,B,D,"```json
{
    ""answer"": ""D""
}
```",0
29,zh,Personal-Others,Response,我最好的朋友告诉我，她养了10年的狗刚刚去世了。,我,B,B,"```json
{
    ""answer"": ""B""
}
```",1
30,zh,Personal-Others,Response,艾瑞斯的妹妹透露，她因为体重增加感到不开心,艾瑞斯,C,C,"```json
{
    ""answer"": ""C""
}
```",1
31,zh,Personal-Others,Response,我的妹妹正在哭泣，因为她最好的朋友突然就搬走了。,我,A,C,"```json
{
    ""answer"": ""C""
}
```",0
32,zh,Personal-Others,Response,希拉的最好朋友刚告诉希拉，她第三次驾驶考试还是没通过。,希拉,B,B,"```json
{
    ""answer"": ""B""
}
```",1
33,zh,Personal-Others,Response,鲍比的哥哥刚向鲍比承认，他不小心倒车撞到了另一辆车，然后没有留下字条就离开了现场。,鲍比,A,A,"```json
{
    ""answer"": ""A""
}
```",1
34,zh,Personal-Others,Response,我亲密的朋友向我吐露，她感到孤独和不快乐，因为她的所有其他朋友都开始了恋爱关系。,我,C,C,"```json
{
    ""answer"": ""C""
}
```",1
35,zh,Personal-Others,Response,芭芭拉的妹妹向芭芭拉吐露，她觉得新工作让她应接不暇，这给她造成了很大的压力。,芭芭拉,C,C,"```json
{
    ""answer"": ""C""
}
```",1
36,zh,Personal-Others,Response,莉莉的弟弟热切地告诉莉莉他画了一幅画，但莉莉认为那画并不好,莉莉,C,A,"```json
{
    ""answer"": ""A""
}
```",0
37,zh,Personal-Others,Response,我的室友刚承认她对她的男朋友不忠。,我,C,C,"```json
{
    ""answer"": ""C""
}
```",1
38,zh,Personal-Others,Response,昨天，宝拉的女儿哭着来找她，向母亲坦白自己怀孕了。她非常害怕，因为她不知道孩子的父亲是谁。,宝拉,B,B,"```json
{
    ""answer"": ""B""
}
```",1
39,zh,Personal-Others,Response,凯文最好的朋友告诉他，一直家暴她的丈夫去世了，她的心情很复杂。,凯文,B,A,"```json
{
    ""answer"": ""A""
}
```",0
40,zh,Personal-Others,Response,我高中的朋友告诉我，她有酗酒的问题，不知道该怎么办。,我,C,C,"```json
{
    ""answer"": ""C""
}
```",1
41,zh,Personal-Others,Response,丽贝卡告诉她的妹妹雷切尔，最近她一直感到很沮丧，对她以前喜欢做的事情都失去了兴趣。,雷切尔,A,A,"```json
{
    ""answer"": ""A""
}
```",1
42,zh,Personal-Others,Response,昨天，安妮告诉她妈妈她怀孕了。她说她感到害怕，觉得自己还没有准备好当母亲。,安妮的妈妈,B,A,"```json
{
    ""answer"": ""A""
}
```",0
43,zh,Personal-Others,Response,经过几周的犹豫不决，欧文最终告诉了他的父母，由于失业，他遇到了严重的财务问题。,欧文的父母,D,C,"```json
{
    ""answer"": ""C""
}
```",0
44,zh,Personal-Others,Response,爱丽丝最好的朋友罗斯告诉她，她觉得自己在成绩和成就方面无法与其他同学竞争。,爱丽丝,B,C,"```json
{
    ""answer"": ""C""
}
```",0
45,zh,Personal-Others,Response,我父亲告诉我，我母亲不忠。,我,A,D,"```json
{
    ""answer"": ""D""
}
```",0
46,zh,Personal-Others,Response,因为最近皮肤上长痘痘，玛丽的室友跟她说她因为自己的外表所以没有信心。,玛丽,D,B,"```json
{
    ""answer"": ""B""
}
```",0
47,zh,Personal-Others,Response,作为一名私人教练，我在过去的六个月里一直在训练詹姆斯。今天，他向我表达了他的沮丧，因为在我们所有的训练之后，他没有增加任何肌肉。,我,C,C,"```json
{
    ""answer"": ""C""
}
```",1
48,zh,Personal-Others,Response,蒂米的儿子在过去的几个星期里一直在准备他的论文提案。当结果出来时，他的儿子告诉他没有通过。,蒂米,C,C,"```json
{
    ""answer"": ""C""
}
```",1
49,zh,Personal-Others,Response,"贾达的儿子输了足球比赛,因为他自责输球是自己的责任,感到非常难过。",贾达,D,D,"```json
{
    ""answer"": ""D""
}
```",1
50,zh,Personal-Others,Response,安德烈的妈妈告诉他，她认为他的爸爸经常因为一些小事和她打架。,安德烈,C,B,"```json
{
    ""answer"": ""B""
}
```",0
