qid,lang,category,question_type,scenario,subject,label,answer,model_response,score
138,zh,Personal-Self,Response,卡莱布发现他最亲密的朋友一直在向其他朋友传播他的个人问题的小道消息。,卡莱布,C,C,"```json
{
    ""answer"": ""C""
}
```",1
139,zh,Personal-Self,Response,安吉拉前几个月被博士的沉重工作量压的喘不过气来，几乎干不了任何别的事。今天，她妈妈打电话来生气她没有抽出时间来看望和陪伴家人,安吉拉,B,C,"```json
{
    ""answer"": ""C""
}
```",0
140,zh,Personal-Self,Response,约翰的哥哥在他的朋友面前取笑他最近的体重增加，这是他最近一直在努力应对的问题。,约翰,D,D,"```json
{
    ""answer"": ""D""
}
```",1
141,zh,Personal-Self,Response,"我今天剪了一个我非常满意的发型。但是，我的女朋友看到后，她认为它不适合我,还笑了出来。",我,D,D,"```json
{
    ""answer"": ""D""
}
```",1
142,zh,Personal-Self,Response,艾伦的小妹妹告诉他，他们一起长大的、艾伦也很喜欢的宠物狗，病得很重。,艾伦,D,D,"```json
{
    ""answer"": ""D""
}
```",1
143,zh,Personal-Self,Response,加文的好朋友告诉他，他感觉加文花太多时间在新女友身上，忽视了他们的友谊。,加文,C,C,"```json
{
    ""answer"": ""C""
}
```",1
144,zh,Personal-Self,Response,杰克很爱他的女朋友，分手后伤心欲绝。今天，杰克最好的朋友告诉他，他最近开始和他的前女友约会，想看看他是否同意。,杰克,B,C,"```json
{
    ""answer"": ""C""
}
```",0
145,zh,Personal-Self,Response,罗纳尔多最好的朋友告诉他，他打算和其他朋友一起去公路旅行，把他留下。,罗纳尔多,C,A,"```json
{
    ""answer"": ""A""
}
```",0
146,zh,Personal-Self,Response,威廉的好朋友一直在吹嘘，说威廉考得不好的那一场考试，他得了更高的分数。威廉为了考试学习很努力，但表现不好。,威廉,C,C,"```json
{
    ""answer"": ""C""
}
```",1
147,zh,Personal-Self,Response,今天早些时候，在弟弟不在的时候，奥利弗不小心弄坏了弟弟的玩具。他弟弟刚从学校回来，还没有看到玩具。,奥利弗,A,A,"```json
{
    ""answer"": ""A""
}
```",1
148,zh,Personal-Self,Response,马丁的母亲告诉他，她不喜欢他的新恋人，认为他可以做得更好。,马丁,A,A,"```json
{
    ""answer"": ""A""
}
```",1
149,zh,Personal-Self,Response,亚伦的哥哥向他借了一大笔钱来创业。虽然亚伦负担得起，但他不放心哥哥的商业能力。,亚伦,C,C,"```json
{
    ""answer"": ""C""
}
```",1
150,zh,Personal-Self,Response,肖恩的妈妈刚刚告诉他，他需要搬出去，因为他已经长大了，需要工作，而她需要更多的空间。,肖恩,B,C,"```json
{
    ""answer"": ""C""
}
```",0
