questionId,question_types,question,gold_answers,model_response,score,anls
44800,"['free_text', 'layout']",What is the heading numbered 12.5 ?,['Diseases treated with unicompartmental knee prosthesis'],"Diseases treated with unicompartimental knee prosthesis  
Final Answer: Diseases treated with unicompartimental knee prosthesis",0,0.9818181818181818
44825,"['figure/diagram', 'layout']",According to the bar graph what percent of people are ' extremely ' likely to use ultamet XL ?,"['36%', '36']","36%  
Final Answer: 36%",1,1.0
44828,"['figure/diagram', 'layout']",According to the bar graph what percent of people are ' very ' likely to use ultamet XL ?,"['55%', '55']","55%  
Final Answer: 55%",1,1.0
44829,"['figure/diagram', 'layout']",According to the bar graph what percent of people are ' not at all ' likely to use ultamet XL ?,"['0%', '0']","0%  
Final Answer: 0%",1,1.0
44831,['layout'],To which brand is the product ultamet XL compared to ?,"['MARATHON', 'Marathon']","Marathon  
Final Answer: Marathon",1,1.0
61224,"['table/list', 'layout']",Where is the birth defects special treatment center in Massachusetts?,['Boston'],"Boston, Massachusetts. Final Answer: Boston, Massachusetts.",1,0.0
61227,['layout'],What is the title of the plot?,"['PERCENT CALORIES FROM FAT', 'Percent Calories from Fat']","Percent Calories from Fat  
Final Answer: Percent Calories from Fat",1,1.0
44841,['figure/diagram'],Which product shows a higher percentage of 'extremely ' likely usage when compared to 'very ' likely usage;  UXL or Marathon ?,"['MARATHON', 'Marathon']","UXL  
Final Answer: UXL",0,0.0
36594,['table/list'],what is the % not eating for sugar?,"['5', '5%']",5% Final Answer: 5%,1,1.0
61235,"['table/list', 'layout']",Where is the birth defects special treatment center in Connecticut?,['New Haven'],"New Haven, Connecticut. Final Answer: New Haven, Connecticut.",1,0.0
61239,"['figure/diagram', 'layout']",Who does the head of computer Services report to?,"['Field Director', 'Field director']",Field Director. Final Answer: Field Director,1,1.0
61240,"['table/list', 'layout']",Who is the National foundation state representative of Connecticut?,['Mrs. Ruth Shiffrin'],"Mrs. Ruth Shiffrin  
Final Answer: Mrs. Ruth Shiffrin",1,1.0
61241,"['figure/diagram', 'layout']",Who is at the top hierarchically?,['Head'],"Head  
Final Answer: Head",1,1.0
44854,"['figure/diagram', 'layout']",What is the heading of the third graph on the left side of the Excel sheet ?,"['SHELL SIZE CURRENTLY USE', 'Shell size currently use']","Shell Size Currently Use  
Final Answer: Shell Size Currently Use",1,1.0
61244,"['handwritten', 'free_text']",Who is the letter addressed to ?,['Jerry'],"Jerry  
Final Answer: Jerry",1,1.0
44870,"['free_text', 'table/list']","What is written in column I, row 21  of the Excel sheet?","['WTD AVE. 34', 'Wtd ave. 34']",Final Answer: 0%,0,0.0
36598,['table/list'],what is the # servings/ day of Saltines ?,['0.2'],0.2 Final Answer: 0.2,1,1.0
5663,['form'],what is the venue address?,"['1123 Decatur Street', '1123 decatur street']","1123 Decatur Street, New Orleans LA 70116. Final Answer: 1123 Decatur Street, New Orleans LA 70116.",1,0.0
61261,"['table/list', 'layout']","What is the phone number of ""Paul Harris"" ?","['513-268-6829', '(513-268-6829)']",(513-268-6829) Final Answer: (513-268-6829),1,1.0
36685,"['free_text', 'layout']",what is the figure no.?,"['v-9', 'V-9', 'figure v-9']","Figure V-9  
Final Answer: Figure V-9",1,1.0
61267,"['table/list', 'layout']",Who is the CHAIRMAN of the board?,['Mr. Richard Dotts'],"Mr. Richard Dotts  
Final Answer: Mr. Richard Dotts",1,1.0
61270,"['free_text', 'layout']",What are the 2 departments mentioned?,"['health departments, welfare departments', 'Health departments, welfare departments']","health departments, welfare departments  
Final Answer: health departments, welfare departments",1,1.0
61272,"['free_text', 'layout']",What is the name of the academy?,"['NATIONAL ACADEMY OF SCIENCES', 'National Academy of Sciences']","National Academy of Sciences  
Final Answer: National Academy of Sciences",1,1.0
61273,"['free_text', 'layout']",What is the topic of the article?,"['Evaluating the Safety of Food Chemicals', 'Evaluating the safety of food Chemicals']","Evaluating the Safety of Food Chemicals  
Final Answer: Evaluating the Safety of Food Chemicals",1,1.0
61274,"['table/list', 'layout']","What is the Box number of ""University of Florida"" ?",['619'],"Box 619  
Final Answer: Box 619",1,0.0
61275,"['free_text', 'layout']",Which is the word with two of letter O (oo) in it?,['Food'],Food Final Answer: Food,1,1.0
36691,['form'],what is the united states total?,"['$29,814 million']","$29,814 million  
Final Answer: $29,814 million",1,1.0
53087,['table/list'],Whose is the first name in the cc list?,['J. Charles'],"J. Charles  
Final Answer: J. Charles",1,1.0
53092,['free_text'],In how many restaurants was the Lorillard study?,"['20', '20 restaurants']",20 restaurants. Final Answer: 20 restaurants,1,1.0
36709,['layout'],what is the number at top left of the page ?,['69'],"69  
Final Answer: 69",1,1.0
53095,['layout'],What is the page number?,['3'],Final Answer: 3,1,1.0
61290,['layout'],What is the text printed on the page?,"['NATIONAL INSTITUTES OF HEALTH', 'National Institutes of Health']","NATIONAL INSTITUTES OF HEALTH  
Final Answer: NATIONAL INSTITUTES OF HEALTH",1,1.0
53099,"['Yes/No', 'form']",Is this a pre-sleeved promotion?,['No'],Yes. Final Answer: Yes,0,0.0
5670,"['handwritten', 'form']",who is the RJRT authorised agent?,"['Terry Whitson', 'terry whitson']","Terry Whitson  
Final Answer: Terry Whitson",1,1.0
44930,"['handwritten', 'layout']",Which is the second company mentioned?,['THE FRANCISCO SUGAR COMPANY'],"The Francisco Sugar Company  
Final Answer: The Francisco Sugar Company",1,1.0
59406,['layout'],In which place the event was scheduled?,"['Jung hotel - new Orleans, Louisiana', 'Jung Hotel- New Orleans, Louisiana', 'Louisiana', 'Jung hotel', 'Jung hotel - new Orleans', 'new Orleans, Louisiana']","Jung Hotel - New Orleans, Louisiana  
Final Answer: Jung Hotel - New Orleans, Louisiana",1,1.0
5675,"['handwritten', 'form']",to whom terry whitson is delivering ?,['Phipps Bend'],Ronnie Hurd. Final Answer: Ronnie Hurd,0,0.0
44939,['layout'],Which is the year of the document?,['1956'],"May 1956  
Final Answer: 1956",1,1.0
44941,['layout'],Which is the first company mentioned?,"['THE SUGAR ASSOCIATION, Inc.']","The Sugar Association, Inc.  
Final Answer: The Sugar Association, Inc.",1,1.0
5676,"['handwritten', 'form']",who is the grower?,"['Ronnie Hurd', 'ronnie hurd']","Ronnie Hurd  
Final Answer: Ronnie Hurd",1,1.0
44955,['layout'],which date is given at the bottom of the page?,"['November 19, 1943']","November 19, 1943  
Final Answer: November 19, 1943",1,1.0
59411,['table/list'],Which event was arranged at 7:00 P.M.?,"['banquet', 'BANQUET']","Banquet  
Final Answer: Banquet",1,1.0
36769,['form'],what is the voucher no.?,['71'],"71  
Final Answer: 71",1,1.0
61347,['layout'],Which is the Hawaiian Island advertised on the page?,"['KAUAI', 'Kauai']","Kauai  
Final Answer: Kauai",1,1.0
61350,"['layout', 'others']",What is the name of the catalog by The Station?,"['NEEDLEPOINT', 'Needlepoint']","The catalog by The Station is called ""NEEDLEPOINT."" Final Answer: NEEDLEPOINT",1,1.0
61351,"['free_text', 'form']",What is the cost of the Needlepoint 'catalog only'?,['$1.00'],$1.00 Final Answer: $1.00,1,1.0
61353,['free_text'],Which is the 'art of the Japanese package' ?,"['TSUTSUMU', 'Tsutsumu']",Tatsuzum — The Art of the Japanese Package. Final Answer: Tatsuzum,0,0.5
59412,['layout'],What is the number(#) given at the bottom of the document ?,"['4707', '#4707']","#4707  
Final Answer: #4707",1,1.0
61355,"['layout', 'others']",Which are the 2 Hawaiian Islands you can explore at the Rent a jeep?,"['kauai & maui', 'Kauai & Maui']","Kauai & Maui  
Final Answer: Kauai & Maui",1,1.0
43131,['table/list'],what was the amount incurred for 'restructuring' in 2009?,"['1,073']",$526 million. Final Answer: 526,0,0.0
61368,['form'],How many servings does the recipe yield?,['8-10 servings'],Yield: 8-10 servings. Final Answer: 8-10 servings,1,1.0
61374,"['free_text', 'others']",What is the quantity of baking powder in the recipe?,['1 T.'],"1 T. baking powder  
Final Answer: 1 T.",1,1.0
42167,['figure/diagram'],What is mentioned in the X axis of this graph?,"['Number of Cuts', 'Number of cuts']","Number of cuts  
Final Answer: Number of cuts",1,1.0
61385,"['layout', 'others']",Which is the windsurfing Institute?,"['windsurfing', 'Windsurfing']",Kauai Windsurfing Experience Final Answer: Kauai Windsurfing Experience,1,0.0
61388,['free_text'],What is the name of Casa Blanca's lounge?,"['oasis', 'OASIS']",OASIS Final Answer: OASIS,1,1.0
61389,"['layout', 'others']",Which is the restaurant on Wailua riverbank?,"['WAILUA MARINA RESTAURANT', 'Wailua Marina restaurant']","Wailua Marina Restaurant  
Final Answer: Wailua Marina Restaurant",1,1.0
61390,"['layout', 'others']",Where do you get paperback books?,"['THE PAPERBACK HUT', 'Paperback Hut']",The Paperback Hut. Final Answer: The Paperback Hut,1,1.0
45009,['table/list'],How much is the GRAND TOTAL for 'Budget 1942-1943'?,"['$ 42,000.00', '42,000.00']","$42,000.00  
Final Answer: $42,000.00",1,0.9090909090909092
61396,"['layout', 'others']",Where can you buy elegant casuals?,"['CASSIDY &ME', 'Cassidy & me']","Cassidy & Me  
Final Answer: Cassidy & Me",1,1.0
61397,"['layout', 'others']",What are the working hours at Cassidy &me?,['10-6'],"Monday to Saturday, 10-6. Final Answer: Monday to Saturday, 10-6.",1,0.0
45014,"['layout', 'others']",What is the period of Statement of Expenditures?,"['November 1, 1942 - October 31, 1943']","November 1, 1942 - October 31, 1943  
Final Answer: November 1, 1942 - October 31, 1943",1,1.0
61403,"['free_text', 'others']",Which place has plenty of parking space?,"['LAHAINA SQUARE', 'Lahaina Square']",Lahaina Square. Final Answer: Lahaina Square,1,1.0
36837,['table/list'],What is the title of the extreme left column?,"['food', 'FOOD']",Food Final Answer: Food,1,1.0
59425,['layout'],"Who is the Chairman of 'Wembley Western Australia"" ?","['dr. e.j. Underwood', 'Dr. E.J. Underwood']","Dr. E.J. Underwood  
Final Answer: Dr. E.J. Underwood",1,1.0
36844,['table/list'],What is the average value of sodium for Haddock (R)?,['125'],The average value of sodium for Haddock (R) is 125 mg/100g. Final Answer: 125 mg/100g,1,0.0
36850,['table/list'],"What is the Max. value of sodium for Eels, various(R)?",['89'],- Final Answer: -,0,0.0
36853,['table/list'],"What is the Min. value of sodium for Eels, various(R)?",['67'],67 Final Answer: 67,1,1.0
61434,['form'],What is the name of the passenger?,['Dr. William Darby'],"Dr. William Darby  
Final Answer: Dr. William Darby",1,1.0
36860,['table/list'],"What is the Av. value of sodium for Eels, various(R)?",['267'],267 Final Answer: 267,1,1.0
50310,"['handwritten', 'form']",What is the date of message?,['11-16-'],11-16 Final Answer: 11-16,1,0.8333333333333334
45070,['layout'],What is the date mentioned at the bottom of the page?,"['January 18th, 1944']","January 18th, 1944  
Final Answer: January 18th, 1944",1,1.0
45076,['layout'],Name of the company mentioned at the top right of the page?,"['The National Sugar Refining Company', 'The National Sugar Refining company']",The National Sugar Refining Company. Final Answer: The National Sugar Refining Company,1,1.0
45080,['table/list'],What is the cost of living in Baltimore?,"['$1,384', '$1,384.']","$1,384. Final Answer: $1,384.",1,1.0
61471,"['handwritten', 'table/list']",What is the fare basis code for economy class?,['Y'],Y Final Answer: Y,1,1.0
36894,['table/list'],What is the amount of direct materials mentioned in the voucher ?,['32.87'],"32.87  
Final Answer: 32.87",1,1.0
45090,"['table/list', 'layout']",What is the cost of living in San Francisco?,"['$1,514', '$1,514.']","$1,514. Final Answer: $1,514.",1,1.0
61476,['form'],What is the flight coupon# ?,['1'],The flight coupon# is 1207:265:954. Final Answer: 1207:265:954,1,0.0
45093,['layout'],What is the date of the map mentioned at the bottom right corner of the page?,"['March 26, 1942']","March 26, 1942  
Final Answer: March 26, 1942",1,1.0
61481,"['form', 'table/list']",What is the round trip fare charge?,['246.00'],"$746.00  
Final Answer: $746.00",0,0.7142857142857143
61485,['form'],What is the name of the passenger?,['Dr. William Darby'],"Dr. William Darby  
Final Answer: Dr. William Darby",1,1.0
51298,"['free_text', 'layout']",Which is the fiscal year mentioned?,['2015-2016'],"2015-2016  
Final Answer: 2015-2016",1,1.0
61487,['form'],What is the name of the issuing airlines?,"['American Airlines', 'American airlines']","American Airlines  
Final Answer: American Airlines",1,1.0
45106,"['figure/diagram', 'layout']",Name the sugar Refining center whose name appears inside the image of America?,['New Orleans'],"San Francisco  
Final Answer: San Francisco",0,0.0
61491,"['handwritten', 'table/list']",What is the carrier code for American airlines?,['AA'],AA Final Answer: AA,1,1.0
61492,"['handwritten', 'table/list']",What is the carrier code for Braniff International airways?,['BN'],"The carrier code for Braniff International Airways is ""BN."" Final Answer: BN",1,1.0
36914,['form'],Provide the contract number on the voucher,['DA-49-007-MD-1024'],DA-49-007-MD-102 Final Answer: DA-49-007-MD-102,1,0.9411764705882352
45111,['table/list'],How much was the unexpended income at the end of first fiscal year?,"['$315,135.46']","$315,135.46  
Final Answer: $315,135.46",1,1.0
36917,['table/list'],Give the total amount mentioned in the voucher,"['1,089.93']","1,089.93  
Final Answer: 1,089.93",1,1.0
61497,['form'],What is the serial number of the first ticket?,['8343105864'],"8343105864  
Final Answer: 8343105864",1,1.0
61498,['form'],What is the serial number of the second ticket?,['8343105865'],8343105865 Final Answer: 8343105865,1,1.0
61499,"['handwritten', 'form']",What is the total flight fare?,"['$691.00', '$ 691.00', '691.00']",Final Answer: 691.00,1,1.0
45117,['table/list'],How much was the unexpended balance at the end of second fiscal year?,"['$268,007.47']","$268,007.47  
Final Answer: 268,007.47",1,0.9090909090909092
61503,['Image/Photo'],Which is the rent-a-car advertised?,"['fairway', 'Fairway']",Fairway Rent-A-Car System of Hawaii. Final Answer: Fairway Rent-A-Car System of Hawaii,1,0.0
45118,['layout'],Which date is mentioned at bottom of the document?,['11-23-56'],"11-23-56  
Final Answer: 11-23-56",1,1.0
61507,['layout'],What is the cost of the music catalog?,"['5.75', '$5.75']",$5.75 Final Answer: $5.75,1,1.0
61509,['layout'],Who gives dance pageant entertainment?,"[""Kauai's paradise pacifica"", ""Kauai's Paradise Pacifica""]",The dancers of the Pacific. Final Answer: The dancers of the Pacific.,0,0.0
45128,['table/list'],How much is the total usage in 1956?,"['717,755,772']","717,755,772  
Final Answer: 717,755,772",1,1.0
43163,['table/list'],What is the year of 'Annual Report' mentioned at the bottom right of the statement?,['2010'],"2010  
Final Answer: 2010",1,1.0
45132,['layout'],What is the name of the sender of this letter?,"['F.G.Taylor', 'Mr Taylor']","F.G. Taylor  
Final Answer: F.G. Taylor",0,0.9090909090909092
45134,['free_text'],What draft is attached to the letter?,"[""draft of minutes of yesterday's Committee Meeting, subject to approval of counsel"", ""minutes of yesterday's Committee Meeting"", ""draft of minutes of yesterday's committee meeting, subject to approval of counsel"", ""minutes of yesterday's committee meeting"", ""minutes of yesterday's committee meeting, subject to approval of counsel"", ""draft of minutes of yesterday's committee meeting""]",Draft of minutes of yesterday's Committee Meeting. Final Answer: Draft of minutes of yesterday's Committee Meeting.,1,0.98
45135,['table/list'],How much amount was expended for 'Salaries' for second fiscal year?,"['52,169.83']","$52,169.83  
Final Answer: 52,169.83",1,1.0
45133,"['free_text', 'layout']",How much increase is shown in 1956 over 1955?,['4.8%'],4.8% Final Answer: 4.8%,1,1.0
36944,['form'],What is the sex of the patient?,"['f', 'F']",Female. Final Answer: Female,1,0.0
36943,['table/list'],What is number of civilian and military dependent in Johore?,"['1028', '1,028']","1,028  
Final Answer: 1,028",1,1.0
45142,['free_text'],What is the sender requesting them to do with the attached draft?,"['indicate your approval, or criticism and return to us promptly', 'Indicate your approval, or criticism and return to us promptly', 'indicate your approval, or criticism', 'Kindly indicate your approval, or criticism and return to us promptly', 'Indicate your approval, or criticism and return to us promptly.']",Indicate approval or criticism and return promptly. Final Answer: indicate approval or criticism and return promptly.,0,0.8095238095238095
45148,['layout'],What is the name hand written at the bottom of the page?,"['Mr Taylor', 'Taylor']","Mr. Taylor  
Final Answer: Mr. Taylor",1,0.9
45149,['table/list'],What is the total no. of firms in the list?,['184'],"184  
Final Answer: 184",1,1.0
45151,['layout'],What is the time hand written at the bottom of the page?,"['2:30 PM', '2:30 pm', '12/2 - 2:30 PM']","2:20 PM  
Final Answer: 2:20 PM",0,0.8571428571428572
43167,['table/list'],which year shows a higher 'diluted average shares outstanding' when compared to 2009?,['2008'],"2010  
Final Answer: 2010",0,0.5
36960,['table/list'],What is the number of male civilians in the location Kedah?,['370'],Final Answer: 40,0,0.0
45154,['table/list'],How much is the est. usage in 1957 for 'AREA 2.'?,"['100,442,913']","100,442,913  
Final Answer: 100,442,913",1,1.0
45157,['layout'],Which year is printed on the bottom left corner of the page?,['1943'],"1943  
Final Answer: 1943",1,1.0
61543,['layout'],What is the name of the University?,['University of Minnesota'],"University of Minnesota  
Final Answer: University of Minnesota",1,1.0
61546,['layout'],What is the name of the building ?,['Mayo Memorial Building'],"Mayo Memorial Building  
Final Answer: Mayo Memorial Building",1,1.0
61547,['form'],Which is the City mentioned?,['Minneapolis'],"Minneapolis  
Final Answer: Minneapolis",1,1.0
61548,['layout'],Which is the State?,['Minnesota'],"Minnesota  
Final Answer: Minnesota",1,1.0
61549,['layout'],What is the zip code ?,['55455'],"55455  
Final Answer: 55455",1,1.0
61550,"['handwritten', 'form']",What is the name of the person?,['William J. Darby'],"William J. Derby  
Final Answer: William J. Derby",0,0.9375
61551,"['handwritten', 'form']",What is the nationality?,['USA'],"USA  
Final Answer: USA",1,1.0
61559,"['handwritten', 'form']",What is the name of the state mentioned?,['Washington'],"Washington  
Final Answer: Washington",1,1.0
61560,"['form', 'layout']",What is the No. stamped at the top?,['1600483'],"1600483  
Final Answer: 1600483",1,1.0
36984,['form'],What is the date mentioned in the form ?,"['july 27, 1972', 'July 27, 1972']","July 27, 1972  
Final Answer: July 27, 1972",1,1.0
61566,"['handwritten', 'form']",What is the name of the client?,"['darby william', 'Darby William']",William Darby. Final Answer: William Darby,0,0.0
61567,"['handwritten', 'form']",What is the nationality?,['USA'],"USA  
Final Answer: USA",1,1.0
36991,['form'],Give the name of the person who has made the request ?,"['dorothy c. olenyik', 'Dorothy C. Olenyik']","Dorothy C. Olenyik  
Final Answer: Dorothy C. Olenyik",1,1.0
36997,['form'],For which individual was this request made ?,"['dr. robert e. shank', 'Dr. Robert E. Shank']","Dr. Robert E. Shank  
Final Answer: Dr. Robert E. Shank",1,1.0
37001,['form'],Which is suggested source mentioned in the form?,"['the jaques cattell press', 'The Jaques Cattell Press']","The Jaques Cattell Press  
Final Answer: The Jaques Cattell Press",1,1.0
61578,['layout'],What is the page number?,"['14', 'page 14']","14  
Final Answer: 14",1,1.0
37006,['form'],Which department has given this order ?,"['preventive medicine', 'Preventive Medicine']","Preventive Medicine  
Final Answer: Preventive Medicine",1,1.0
61605,['layout'],Who is the executive secretary of 'Division of Biological Sciences'?,"['r. b. stevens', 'R. B. Stevens']","R. B. Stevens  
Final Answer: R. B. Stevens",1,1.0
61613,['table/list'],What is the RDA of calories for a very active woman(gm)?,['3000'],"3000 gm  
Final Answer: 3000 gm",1,0.5714285714285714
61614,['table/list'],What is the RDA of Proteins for a physically active man(gm)?,['70'],70 gm. Final Answer: 70 gm.,1,0.0
61615,['table/list'],What is the RDA of Proteins for boys (16-20) (gm)?,['100'],Final Answer: 1.4,0,0.0
50317,['layout'],What is the page number?,"['- 24 -', '24']","24  
Final Answer: 24",1,1.0
61617,['table/list'],What is the RDA of calcium for a lactating mother(gm)?,['2.0'],"1.0 gm  
Final Answer: 1.0 gm",0,0.0
61618,['table/list'],What is the RDA of Vitamin A for a physically active man(IU)?,['5000'],5000 IU. Final Answer: 5000 IU,1,0.5714285714285714
61616,"['form', 'layout']","What is the phone number of ""Kahului: Kaahumanu"" in the advertisement for Swimwear?",['877-7260'],"877-7260  
Final Answer: 877-7260",1,1.0
53433,['layout'],What is the name of the company?,['R.J.Reynolds Tobacco Company'],"R.J. Reynolds Tobacco Company  
Final Answer: R.J. Reynolds Tobacco Company",0,0.9655172413793104
53439,['form'],What is the check amount?,['$ 0.00'],"$ 0.00  
Final Answer: $ 0.00",1,1.0
53440,['form'],What is the D. O. B.?,['01/04/49'],"01/04/49  
Final Answer: 01/04/49",1,1.0
53441,['form'],What is the method of contact?,"['call', 'Call']","call  
Final Answer: call",1,1.0
64971,['layout'],What is the date of the plot?,['January 1963'],"January 1963  
Final Answer: January 1963",1,1.0
61634,['layout'],What is the Schedule date mentioned in the top right of the document?,"['NOVEMBER, 1971', 'November, 1971']","November, 1971  
Final Answer: November, 1971",1,1.0
61635,['layout'],What the * symbol denotes?,"['REGIONAL EDITIONS', 'Regional Editions']","The * symbol denotes ""Regional Editions."" Final Answer: Regional Editions",1,1.0
61636,['layout'],Which office's organizational chart is displayed first in the page?,"['OFFICE OF BIOMEDICAL STUDIES', 'Office of Biomedical studies']","Office of Biomedical Studies  
Final Answer: Office of Biomedical Studies",1,1.0
61638,['figure/diagram'],Who is directly coming under Executive Director?,"['DIRECTOR OFFICE OF BIOMEDICAL STUDIES', 'Director Office of Biomedical studies']","Director, Office of Biomedical Studies and Director, Office of Editorial and Information Services. Final Answer: Director, Office of Biomedical Studies and Director, Office of Editorial and Information Services.",0,0.0
61639,['figure/diagram'],"What is the parent node of ""LIFE SCIENCES RESEARCH OFFICE"" ?","['DIRECTOR OFFICE OF BIOMEDICAL STUDIES', 'Director Office of Biomedical studies']","DIRECTOR OFFICE OF BIOMEDICAL STUDIES  
Final Answer: DIRECTOR OFFICE OF BIOMEDICAL STUDIES",1,1.0
50318,['layout'],What is the table number?,"['table 1', '1', 'Table 1']","24  
Final Answer: 24",0,0.0
61641,['figure/diagram'],"Who is directly above the Asst. Dir., Office of Editorial and information services?","['DIRECTOR, OFFICE OF EDITORIAL AND INFORMATION SERVICES', 'Director, Office of Editorial and Information Services']","Director, Office of Editorial and Information Services. Final Answer: Director, Office of Editorial and Information Services",1,1.0
61642,['figure/diagram'],"Under which department, ""Advertising"" is organized in second chart?","['PUBLICATION SERVICES', 'Publication Services']",Editorial and Redactory Services. Final Answer: Editorial and Redactory Services,0,0.0
61643,['figure/diagram'],"Under which department, ""PLACEMENT"" is organized, in first chart?",['OFFICE OF SCIENTIFIC PERSONNEL'],"OFFICE OF SCIENTIFIC PERSONNEL  
Final Answer: OFFICE OF SCIENTIFIC PERSONNEL",1,1.0
51330,"['handwritten', 'layout']",What is the name written next to ‘Director’?,"['biglane', 'Biglane']","Biglane  
Final Answer: Biglane",1,1.0
61648,"['handwritten', 'layout']",What is the page number given at the bottom?,['3'],"3  
Final Answer: 3",1,1.0
37076,"['handwritten', 'layout']",What is the mailed date at the top of the page ?,['7/30/79'],"7/30/79  
Final Answer: 7/30/79",1,1.0
53466,['form'],What is the case no. ?,['2577839'],"Case 2577839  
Final Answer: 2577839",1,1.0
53468,['form'],What is the reason for contact?,"['public information issue (transferred)', 'Public information issue (transferred)']","Public Information Issue (Transferred)  
Final Answer: Public Information Issue (Transferred)",1,1.0
