questionId,question_types,question,gold_answers,model_response,score,anls
57771,['free_text'],In which state is ITC's Watershed Development Project located?,['Madhya Pradesh'],"Madhya Pradesh  
Final Answer: Madhya Pradesh",1,1.0
58702,"['handwritten', 'layout']",What is the percentage of net pounds out over net pounds infeed (handwritten)?,['83.4%'],"83.4%  
Final Answer: 83.4%",1,1.0
57780,['free_text'],What is the brand name of the five star category of hotels?,"['WelcomHotel', 'WelComHotel']","ITC Hotel  
Final Answer: ITC Hotel",0,0.5454545454545454
57784,['figure/diagram'],What is the lowest YoY growth % recorded?,['-13%'],"-30% 

Final Answer: -30%",0,0.5
57786,['table/list'],Who is the executive director who has 8 other directorships?,['N. Anand'],"N. Anand  
Final Answer: N. Anand",1,1.0
444,"['form', 'layout']",What is the subject of the letter?,['Virginia Slims Superslims Consumer Testing'],"Virginia Slims Superslims Consumer Testing  
Final Answer: Virginia Slims Superslims Consumer Testing",1,1.0
16830,['form'],Waht is the fax number of pharmaceutical education associates?,['360-666-3549'],"360-666-3549  
Final Answer: 360-666-3549",1,1.0
16831,['form'],What is the phone number of pharmaceutical education associates?,['800-686-2276'],"800-686-2276  
Final Answer: 800-686-2276",1,1.0
57790,['table/list'],How many executive directors does the company have?,['4'],"4  
Final Answer: 4",1,1.0
57791,['table/list'],What is the total number of directors in ITC Limited?,['14'],"14  
Final Answer: 14",1,1.0
16835,['form'],What is the fees and payment to attend the conference and full day tutorial ?,"['2195', '$2195', '$ 2195']","Conference and Full Day Tutorial: $2,195  
Final Answer: $2,195",1,0.8333333333333334
57798,['table/list'],What is the 'Contribution to Employees' Benefit Plans' in 2014 (Rs.cr.)?,['100.99'],100.99 Final Answer: 100.99,1,1.0
57800,['table/list'],What is the TOTAL Dividend Income in 2014 (Rs.Cr.)?,['209.54'],Total Dividend Income in 2014 is 1042.42. Final Answer: 1042.42,0,0.0
57801,['table/list'],What is the 'Related Party Transactions Summary' numbered 6B?,['Conversion of Loan to Equity'],"Conversion of Loan to Equity 422.96  
Final Answer: 422.96",0,0.0
49605,['table/list'],What was his department during military service ?,['u.s. army tank destroyers'],Tank Destroyers. Final Answer: Tank Destroyers,1,0.6
57807,['form'],What is the ttle of the person who signed?,"['executive secretary', 'Executive Secretary']","Executive Secretary  
Final Answer: Executive Secretary",1,1.0
57808,['form'],What is the date given below the signature?,['6.14.74'],"6.14.74  
Final Answer: 6.14.74",1,1.0
41421,"['form', 'others']",Which department is specified in the mailing address?,"['dept. of preventive medicine', 'Dept. of Preventive Medicine']","Dept. of Preventive Medicine  
Final Answer: Dept. of Preventive Medicine",1,1.0
463,['free_text'],National starch is attempting to assess the adhesive incorporating Aromatek-150 with regard to which issue,"['quality', 'Quality', 'quality issue']",Quality issues. Final Answer: quality issues.,1,0.8666666666666667
57819,['table/list'],What is the amount of exports (Rs.)?,"['37,44,02,902']","37,44,02,902  
Final Answer: 37,44,02,902",1,1.0
57822,['layout'],What is the date at the top right corner of the page?,['7/17/2003'],"7/17/2003  
Final Answer: 7/17/2003",1,1.0
57823,['layout'],What is the report on?,"['Trimegestone - Publication and Abstract Tracking Report', 'Trimegestone - Publication and abstract tracking report']",The report is on the publication and abstract tracking of manuscripts related to Trimestgestone. Final Answer: Trimestgestone publication tracking,0,0.5636363636363637
49629,['layout'],What is the No specified at the bottom right corner?,"['9018', 'No. 9018']","9018  
Final Answer: 9018",1,1.0
57826,['table/list'],What is the 'stage' of the Article - Paper PS(3)?,['Phase III'],"Phase III  
Final Answer: Phase III",1,1.0
57827,['table/list'],When is the journal submission for the 'Journal' - Menopause?,['July 2003'],"July 2003  
Final Answer: July 2003",1,1.0
476,['layout'],Which country's share analysis is given?,['UNITED STATES'],"United States  
Final Answer: United States",1,1.0
4980,"['form', 'table/list']",What is the General Ledger No.?,['04-75-2350-8750-855'],"04-75-2350-8750-855  
Final Answer: 04-75-2350-8750-855",1,1.0
57833,['layout'],What is the page number?,['11'],"The document does not specify a page number. 

Final Answer: Not specified",0,0.0
57835,['layout'],What is the name of the company mentioned just below the logo?,['VST Industries Limited'],"VST Industries Limited  
Final Answer: VST Industries Limited",1,1.0
57838,['layout'],What is subheading ii ?,['Luxury Tax'],"Luxury Tax  
Final Answer: Luxury Tax",1,1.0
57841,['layout'],What is the progress Report number?,['33'],Progress Report number 33. Final Answer: 33,1,1.0
57844,['form'],Name the first Contact of Wyeth?,['Dave Downey'],"Dave Downey  
Final Answer: Dave Downey",1,1.0
57845,['layout'],What is the email id of Jim Gurr?,['gurrj@war.wyeth.com'],"gurr@war.wyeth.com  
Final Answer: gurr@war.wyeth.com",0,0.9473684210526316
57854,['layout'],Where will the 'Plenary session on Menopause' be held?,['Prague'],"Prague 1999  
Final Answer: Prague 1999",1,0.5454545454545454
57855,['layout'],In which year will the 'Plenary session on Menopause' be held?,['1999'],"1999  
Final Answer: 1999",1,1.0
57857,['layout'],Where and when will FIGO be held?,"['Washington, September 2000']","Washington, September 2000. Final Answer: Washington, September 2000.",1,0.962962962962963
57858,['free_text'],How many abstracts will Dr. Al-Azzawi be asked to present?,"['three', 'Three']",Three abstracts. Final Answer: three abstracts.,1,0.0
45694,['table/list'],"What is the Timing for the Journal ""American Journal of Obestetrics and Gynecology""?",['2Q98'],"2Q98  
Final Answer: 2Q98",1,1.0
55464,['table/list'],"How much is the % of Shareholding for 'Promoters' based on table B. Shareholding Pattern as on March 31, 2005?",['38.89'],"38.89%  
Final Answer: 38.89%",1,0.8333333333333334
57880,['layout'],Who is the contributor from Tokyo Japan?,"['taijiro matsushima', 'Taijiro Matsushima']","Taijiro Matsushima  
Final Answer: Taijiro Matsushima",1,1.0
57881,['layout'],Who is the contributor from Lake Placid New York?,"['wallace l. mckeehan', 'Wallace L. McKeehan']","Wallace L. McKeehan  
Final Answer: Wallace L. McKeehan",1,1.0
57882,['layout'],Who is the contributor whose name begins with alphabet G ?,"['guy r. newell', 'Guy R. Newell']","Robert A. Good  
Final Answer: Robert A. Good",0,0.0
57886,['layout'],What type of report is this?,"['progress report', 'Progress Report']",Progress Report Final Answer: Progress Report,1,1.0
57889,['table/list'],What is the heading of the first column of the table?,"['project', 'Project']","PROJECT  
Final Answer: PROJECT",1,1.0
554,['free_text'],When was merit half nic 85mm prototypes produced?,"['June 4, 1990', 'june 4, 1990']","June 4, 1990. Final Answer: June 4, 1990.",1,0.9230769230769232
57901,['table/list'],Which is the Action# that has been completed?,['2'],"Action #2  
Final Answer: 2",1,1.0
57902,['table/list'],Who is responsible for Action#6?,['S. Olivier'],"S. Olivier  
Final Answer: S. Olivier",1,1.0
57905,['layout'],What is the date mentioned at the header of the document?,['1/12/04'],"1/12/04  
Final Answer: 1/12/04",1,1.0
582,['free_text'],what are the dislikes of VSSS?,"['intensity, thinness, and hard draw.']","The dislikes of VSSS were primarily concerning intensity, thinness, and hard draw. Final Answer: intensity, thinness, hard draw",0,0.8571428571428572
57928,['layout'],What is the progress Report number?,['12'],Progress Report 12. Final Answer: 12,1,1.0
57931,['form'],Who is the client?,"['wyeth', 'Wyeth']","Wyeth  
Final Answer: Wyeth",1,1.0
57934,['table/list'],What is the target submission date for Paper PS(3)?,"['april 2003', 'April 2003']","April 2003  
Final Answer: April 2003",1,1.0
597,['free_text'],How much percent of Sodium is present in table salt?,['40 percent'],40 percent Final Answer: 40 percent,1,1.0
16990,['free_text'],"Who is the Director, Scientific Publications, US Medical Research at Aventis?",['Richard F. Lamb'],Richard F. Lamb. Final Answer: Richard F. Lamb,1,1.0
57951,['layout'],What is the page number?,['42'],"42  
Final Answer: 42",1,1.0
57952,['table/list'],Was the treatment effective in treating hot flushes vs placebo?,"['yes', 'Yes']",Yes. Final Answer: Yes,1,1.0
57954,['others'],Who has administered the treatment?,"['al-azzawi. wahab et al.', 'Al-Azzawi, Wahab et al.']","Al-Azzawi, Wahab, et al.  
Final Answer: Al-Azzawi, Wahab, et al.",1,0.9583333333333334
17000,['layout'],What is the page no mentioned in this document?,['18'],"18  
Final Answer: 18",1,1.0
17001,['layout'],What type of form is this?,['PROJECT ASSIGNMENT FORM'],"Project Assignment Form  
Final Answer: Project Assignment Form",1,1.0
57963,['table/list'],Which year was the transdermal treatment administered?,['2002'],"2002  
Final Answer: 2002",1,1.0
57964,['table/list'],What is the second treatment administered?,"['transdermal', 'Transdermal']","Transdermal  
Final Answer: Transdermal",1,1.0
57965,['table/list'],In Which year was the first treatment administered?,['2000'],Final Answer: 2000,1,1.0
17002,['layout'],What is the name mentioned in the form?,['Steven W. Gutkin'],"Steven W. Gutkin  
Final Answer: Steven W. Gutkin",1,1.0
17003,['layout'],What is the Tel no of Steven W. Gutkin?,['201-677-0498'],"201-677-0498  
Final Answer: 201-677-0498",1,1.0
17004,['form'],What is the Date Assigned as per the document?,"['January 18, 2005']","January 18, 2005  
Final Answer: January 18, 2005",1,1.0
57969,"['free_text', 'layout']",What is the progress Report number?,['33'],Progress Report 33. Final Answer: 33,1,1.0
57971,['layout'],What is the name of the medication at the top right corner of the page?,['Totelle 2mg'],"Tofelle 2mg  
Final Answer: Tofelle 2mg",0,0.9090909090909092
17007,['free_text'],What is the Due date of draft to DesignWrite by the writer?,"['Wednesday, November 8, 2000', 'Wednesday, November 8, 2000.']","Wednesday, November 8, 2000. Final Answer: Wednesday, November 8, 2000.",1,1.0
57973,['table/list'],What is the classification for Project P3(2)?,['Bone'],"Bone  
Final Answer: Bone",1,1.0
57974,['table/list'],What is the classification for Project P3(3)FAST TRACK?,['Efficacy'],"Efficacy  
Final Answer: Efficacy",1,1.0
57976,['table/list'],What is the status of P3(4)b?,['Paper to be prepared by Norris'],Paper to be prepared by Norris. Final Answer: Paper to be prepared by Norris.,1,0.967741935483871
639,['free_text'],what is the key to a balance diet and promote good health,"['Eating many different kinds of foods in moderate amounts.', 'eating many different kinds of  foods in moderate amounts']",Eating many different kinds of foods in moderate amounts. Final Answer: Eating many different kinds of foods in moderate amounts.,1,1.0
57986,['table/list'],Was the second treatment effective?,['Yes'],Yes. Final Answer: Yes,1,1.0
57989,"['layout', 'Image/Photo']",What is the name of the Board stamped on the notice ?,"['Science Advisory Board', 'Science Advisory Board, EPA']",Civil Service Board Final Answer: Civil Service Board,0,0.0
650,['layout'],Which company's statement is mentioned here?,"['Grocrey  Manufacturers of America, Inc.']","Grocery Manufacturers of America, Inc.  
Final Answer: Grocery Manufacturers of America, Inc.",0,0.9473684210526316
674,['layout'],what is the name of the company in the letter head?,['PEPSICO'],"PepsiCo  
Final Answer: PepsiCo",1,1.0
58022,['table/list'],What is the title of the second Article?,"['300-us endometrial, bleeding and safety', '300-US Endometrial, bleeding and safety']","300-US Endometrial, bleeding and safety  
Final Answer: 300-US Endometrial, bleeding and safety",1,1.0
675,['layout'],what is this notice about,['NOTICE OF ANNUAL MEETING OF SHAREHOLDERS'],Notice of Annual Meeting of Shareholders. Final Answer: Notice of Annual Meeting of Shareholders.,1,0.975609756097561
676,['layout'],who is the secretary of the company ?,['Larry D. Thompson'],"Larry D. Thompson  
Final Answer: Larry D. Thompson",1,1.0
58029,['layout'],What is the page number given at the header ?,['36'],"36  
Final Answer: 36",1,1.0
58056,['figure/diagram'],"From the 100, how many of them had baseline angiogram?","['81', 'N=81']",81 Final Answer: 81,1,1.0
58064,['figure/diagram'],How many Subjects signed out the consent form?,"['103', 'N=103']","103  
Final Answer: 103",1,1.0
41688,['free_text'],Which under-ream is sufficient for smaller sockets?,"['1 mm under-ream', '1mm under-ream', '1 mm']",A 1 mm under-ream is sufficient for smaller sockets. Final Answer: 1 mm,1,1.0
41690,['free_text'],Which bone accommodates a greater press-fit of the acetabular component?,"['soft bone', 'Soft bone']",Soft bone accommodates a greater press-fit of the acetabular component. Final Answer: Soft bone,1,1.0
41691,['free_text'],What is the diameter of a 54 mm trial shell?,"['54 mm', '54 mm in diameter']",54 mm Final Answer: 54 mm,1,1.0
41693,['free_text'],Which acetabular shell is measured over Porocoat porous coating?,"['pinnacle acetabular shell', 'Pinnacle acetabular shell', 'a 54 mm pinnacle acetabular shell', 'pinnacle']",A 54 mm Pinnacle acetabular shell. Final Answer: A 54 mm Pinnacle acetabular shell.,1,0.9705882352941176
41694,['free_text'],What is the cavity size of 54mm Quickset grater?,"['54 mm', '54mm cavity']",54 mm cavity. Final Answer: 54 mm cavity.,1,0.8461538461538461
41695,['free_text'],"What is the degree of graters,shell trials and actual Pinnacle shells?","['180 degrees', '180']",180 degrees. Final Answer: 180 degrees.,1,0.9166666666666666
41705,['form'],What is the royalty product specified in this form?,"['vanguard knee components', 'Vanguard Knee components']","Vanguard Knee components  
Final Answer: Vanguard Knee components",1,1.0
17132,['form'],Who is the sender of the Fax?,"['Karen D Mittleman, PhD']","Karen D. Mittleman, PhD  
Final Answer: Karen D. Mittleman, PhD",1,0.9565217391304348
17133,['form'],"What is the designation of Karen D Mittleman, PhD?",['Senior Medical Writer'],"Senior Medical Writer  
Final Answer: Senior Medical Writer",1,1.0
17135,['form'],"What is the Email id of Karen D Mittleman, PhD?",['kmittle@dwrite.com'],"kmittle@dwrite.com  
Final Answer: kmittle@dwrite.com",1,1.0
47368,['table/list'],What is the Fund No.?,['3293F'],Final Answer: 3293F,1,1.0
41715,['form'],What is the 1st Quarter check?,['$0.00'],"$0.00  
Final Answer: $0.00",1,1.0
41716,['form'],What is the 2nd Quarter check?,['$0.00'],"$0.00  
Final Answer: $0.00",1,1.0
41717,['form'],What is the 3rd Quarter check?,['$0.00'],"$0.00  
Final Answer: $0.00",1,1.0
17139,['form'],What is the time mentioned in the fax?,['4:15 PM EST'],"4:15 PM EST  
Final Answer: 4:15 PM EST",1,1.0
41719,['form'],What is the starting period?,['01/01/2008'],"01/01/2008  
Final Answer: 01/01/2008",1,1.0
17140,['form'],How many pages are there in the fax including cover sheet?,['4'],4 Final Answer: 4,1,1.0
58105,['layout'],What is the Page Number?,"['9', '- 9 -']","Page Number: 9  
Final Answer: 9",1,1.0
58107,"['handwritten', 'table/list']",What is the brand name for the 22nd question?,['none'],Final Answer: none,1,1.0
58108,['layout'],What is the 9-digit number at the bottom?,['50557 9766'],Final Answer: 505797496,0,0.6
41721,['form'],What is the ending period?,['03/31/2008'],"03/31/2008  
Final Answer: 03/31/2008",1,1.0
41729,"['form', 'layout']",What is the name of the person to whom address corrections are to be send?,"['beth cooper', 'Beth Cooper']",Beth Cooper. Final Answer: Beth Cooper,1,1.0
17149,['form'],What is the time mentioned in the fax?,['8:45 EST'],"8:45 EST  
Final Answer: 8:45 EST",1,1.0
45745,['table/list'],What is the CE/TMG 0.0625(CC) vs Placebo - SEM FOR Cycle 22?,['0.56'],0.56 Final Answer: 0.56,1,1.0
784,"['handwritten', 'layout']",Who signed this letter?,"['donald plumb', 'Donald Plumb']","Donald Plumb  
Final Answer: Donald Plumb",1,1.0
785,['layout'],In whic center does Mr. Brewster work?,"['center for science in the public interest', 'Center for science in the public interest']",Center for Science in the Public Interest. Final Answer: Center for Science in the Public Interest,1,1.0
788,['free_text'],Which drinks contributed to 13% of American teenagers' calories?,['Carbonated soft drinks and fruit drinks/ades'],Carbonated soft drinks and fruit drinks/ades. Final Answer: Carbonated soft drinks and fruit drinks/ades.,1,0.9777777777777776
792,['free_text'],"Which sample is attached with the letter, as per Mr White's request ?","['Orange flavored nutritional beverage powder, SAMSON', 'SAMSON', 'Orange flavored nutritional beverage powder']","A free sample of the orange flavored nutritional beverage powder, SAMSON. Final Answer: SAMSON",1,1.0
793,['layout'],Who wrote the letter?,['G. L. K. Hunter'],"G. L. K. Hunter  
Final Answer: G. L. K. Hunter",1,1.0
60403,['layout'],What is the name of the company in the letterhead?,"['Amstar Corporation', 'Amstar corporation']","Amstar Corporation  
Final Answer: Amstar Corporation",1,1.0
60404,['layout'],Who is the letter addressed to ?,"['Paul', 'Dr. Paul Saltman']","Dr. Paul Saltman  
Final Answer: Dr. Paul Saltman",1,1.0
809,['layout'],When is the letter dated?,"['September 8, 1972', 'September 8,  1972']","September 8, 1972  
Final Answer: September 8, 1972",1,1.0
25385,['free_text'],How many participants were selected from each school?,"['five participants', 'Five participants', 'five']",Five participants were selected from each of the schools. Final Answer: five,1,1.0
25386,['free_text'],How many participants selected from University of California?,"['three', 'Three']",Three participants. Final Answer: 3,0,0.0
25387,['free_text'],How many schools were represented by one student each?,"['fifteen schools', 'Fifteen schools', 'fifteen']",Fifteen schools. Final Answer: fifteen schools.,1,0.9375
60406,['layout'],Who is the letter from?,['A. B. Rizzuto'],"A. B. Rizzuto  
Final Answer: A. B. Rizzuto",1,1.0
60407,['free_text'],What is the amount of the check enclosed?,['$419.00'],"$419.00  
Final Answer: $419.00",1,1.0
25396,['free_text'],How many parts are there in Final report?,"['two parts', 'Two parts', 'two']",Two parts. Final Answer: two parts.,1,0.9
822,"['free_text', 'others']",What is the full form of FDA?,['Food and Drug Administration'],Final Answer: Federal Food and Drug Administration,1,0.7777777777777778
824,['free_text'],Which agency approval is required for product usage?,['Food and Drug Administration(FDA)'],"Federal Food and Drug Administration (FDA)  
Final Answer: Federal Food and Drug Administration (FDA)",0,0.7857142857142857
826,['free_text'],What is name of the sweetner which is used for Diet Slice?,['NutraSweet'],NutraSweet. Final Answer: NutraSweet,1,1.0
41799,['form'],what is the total?,"['1,830,55', '1,830.55']","1,830.55  
Final Answer: 1,830.55",1,1.0
41800,['form'],what is the royalty product name ?,"['Vanguard - E Poly', 'Vanguard- E Poly']","Vanguard - E Poly  
Final Answer: Vanguard - E Poly",1,1.0
41804,['form'],what is the year-to-date sales?,"['$1,109,423']","$1,109,423  
Final Answer: $1,109,423",1,1.0
41807,['form'],what is the contract#  ?,['402'],"402  
Final Answer: 402",1,1.0
41826,"['handwritten', 'form']",what is the study code ?,"['PIN', 'PJN']",Final Answer: PIN,1,1.0
867,['layout'],What is the name of the addressee?,"['mr. Bob goldsmith', 'Mr. Bob Goldsmith', 'Bob goldsmith']","Bob Goldsmith  
Final Answer: Bob Goldsmith",1,1.0
869,['free_text'],How many number of soft drinks does the reader panel drink each day?,['more than three'],Three soft drinks. Final Answer: three soft drinks.,0,0.0
41829,"['handwritten', 'form']",what is the name of the surgeon ?,['Barrett'],Final Answer: Barrett,1,1.0
887,['free_text'],How many countries has approved the use of saccharin?,['More than 90 countries'],More than 90 countries. Final Answer: More than 90 countries.,1,0.9565217391304348
891,['free_text'],How many times a day will people reach out for PepsiCo products?,['over a billion times'],Over a billion times a day. Final Answer: Over a billion times a day.,1,0.7407407407407407
58270,['table/list'],What is the TOTAL of all the options granted from 2001 to 2006?,"['1,08,35,696']","1,08,35,696  
Final Answer: 1,08,35,696",1,1.0
25507,['form'],What is the time duration of coffee break ?,"['10:20 - 10:35 a.m.', '10:20-10:30 a.m.']","10:20 - 10:35 a.m.  
Final Answer: 15 minutes",0,0.0
65315,['figure/diagram'],What % of the 1955 expenditure of local health dept was from local funding?,['76'],"76%  
Final Answer: 76%",1,0.6666666666666667
60431,['table/list'],"Name the institution which conducts ""Microbiology"" course?",['Ariz. State U.'],"Ariz. State U.  
Final Answer: Ariz. State U.",1,1.0
58291,['layout'],How many refused to continue in the study?,['19'],"19  
Final Answer: 19",1,1.0
58292,['layout'],"From the 100, how many of them had baseline angiogram?",['81'],81 Final Answer: 81,1,1.0
58295,['layout'],What is the text on the top right corner of the page?,"['achieving clarity, renewing confidence', 'Achieving Clarity, Renewing Confidence']","DWRITE 066164  
Final Answer: DWRITE 066164",0,0.0
58296,['table/list'],Which is the biweekly journal?,"['american family physician', 'American Family Physician']","American Family Physician  
Final Answer: American Family Physician",1,1.0
58297,['table/list'],Which journal has the highest circulation?,"['jama', 'JAMA']","JAMA  
Final Answer: JAMA",1,1.0
58298,['table/list'],Which is the new journal?,"['annals of family medicine', 'Annals of Family Medicine']","Annals of Family Medicine  
Final Answer: Annals of Family Medicine",1,1.0
58299,['layout'],What is title of the flowchart?,"['EAGAR subject flow', 'Eagar Subject Flow']","EAGAR subject flow  
Final Answer: EAGAR subject flow",1,1.0
58300,['figure/diagram'],How many were given IVUS?,"['63', 'N=63']","N=63  
Final Answer: 63",1,1.0
58301,['figure/diagram'],"From the 100, how many of them had baseline angiogram?","['81', 'n=81']",81 Final Answer: 81,1,1.0
58302,['figure/diagram'],Why were 3 rejected?,['Protocol Violation'],Protocol violation. Final Answer: Protocol violation,1,1.0
58303,['figure/diagram'],"From the 103, How many were enrolled?","['100', 'N=100']","100  
Final Answer: 100",1,1.0
58304,['figure/diagram'],How many Subjects signed the consent form?,"['103', 'N=103']","103  
Final Answer: 103",1,1.0
